step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,132.565,0.04,Rick,0.0,0.0,167.771,167.771,0.0,0.0
2.0,129.352,0.0,Rick,0.0,0.0,206.06,206.06,False,False
3.0,126.824,0.02,Rick,0.0,0.0,221.673,221.673,False,False
4.0,124.871,0.07,Rick,0.0,0.0,224.983,224.983,False,False
5.0,123.412,0.04,Rick,0.0,0.0,222.477,222.477,False,False
6.0,122.381,0.06,Rick,0.0,0.0,218.141,218.141,False,False
7.0,121.723,0.0,Rick,0.0,0.0,214.262,214.262,False,False
8.0,121.386,0.0,Rick,0.0,0.0,211.94,211.94,False,False
9.0,121.328,0.06,Rick,0.0,0.0,211.517,211.517,False,False
10.0,121.551,0.07,Rick,0.0,0.0,213.104,213.104,False,False
11.0,122.122,0.02,Rick,0.0,0.0,216.718,216.718,False,False
12.0,123.123,0.02,Rick,0.0,0.0,221.479,221.479,False,False
13.0,124.636,0.03,Rick,0.0,0.0,224.868,224.868,False,False
14.0,126.714,0.05,Rick,0.0,0.0,222.061,222.061,False,False
15.0,129.245,0.01,Rick,0.0,0.0,206.979,206.979,False,False
16.0,131.866,0.03,Rick,0.0,0.0,177.859,177.859,False,False
17.0,134.159,0.02,Rick,0.0,0.0,141.108,141.108,False,False
18.0,135.707,0.02,Rick,0.0,0.0,110.358,110.358,False,False
19.0,136.142,0.01,Rick,0.0,0.0,100.866,100.866,False,False
20.0,135.395,0.05,Rick,0.0,0.0,116.952,116.952,False,False
21.0,133.848,0.01,Rick,0.0,0.0,146.715,146.715,False,False
22.0,131.983,0.04,Rick,0.0,0.0,176.239,176.239,False,False
23.0,130.281,0.02,Rick,0.0,0.0,197.106,197.106,False,False
24.0,129.193,0.04,Rick,0.0,0.0,207.42,207.42,False,False
25.0,128.971,0.04,Rick,0.0,0.0,209.228,209.228,False,False
26.0,129.58,0.06,Rick,0.0,0.0,204.028,204.028,False,False
27.0,130.915,0.03,Rick,0.0,0.0,190.018,190.018,False,False
28.0,132.874,0.06,Rick,0.0,0.0,163.006,163.006,False,False
29.0,135.34,0.04,Rick,0.0,0.0,118.082,118.082,False,False
30.0,138.114,0.02,Rick,0.0,0.0,53.023,53.023,False,False
31.0,140.87,0.02,Rick,0.0,0.0,-26.867,-26.867,False,False
32.0,143.256,0.05,Rick,0.0,0.0,-108.296,-108.296,False,False
33.0,144.919,0.03,Rick,0.0,0.0,-171.785,-171.785,False,False
34.0,145.568,0.0,Rick,0.0,0.0,-198.06,-198.06,False,False
35.0,145.282,0.05,Rick,0.0,0.0,-186.351,-186.351,False,False
