step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,141.449,0.04,Morty,0.0,-45.567,0.0,-45.567,0.0,0.0
2.0,139.492,0.0,Morty,0.0,14.996,0.0,14.996,False,False
3.0,138.073,0.02,Morty,0.0,54.109,0.0,54.109,False,False
4.0,137.048,0.03,Morty,0.0,79.844,0.0,79.844,False,False
5.0,136.292,0.04,Morty,0.0,97.499,0.0,97.499,False,False
6.0,135.688,0.02,Morty,0.0,110.773,0.0,110.773,False,False
7.0,135.128,0.0,Morty,0.0,122.431,0.0,122.431,False,False
8.0,134.507,0.0,Morty,0.0,134.618,0.0,134.618,False,False
9.0,133.735,0.02,Morty,0.0,148.694,0.0,148.694,False,False
10.0,132.792,0.01,Morty,0.0,164.292,0.0,164.292,False,False
11.0,131.757,0.02,Morty,0.0,179.344,0.0,179.344,False,False
12.0,130.736,0.02,Morty,0.0,192.099,0.0,192.099,False,False
13.0,129.834,0.03,Morty,0.0,201.635,0.0,201.635,False,False
14.0,129.151,0.04,Morty,0.0,207.77,0.0,207.77,False,False
15.0,128.758,0.01,Morty,0.0,210.876,0.0,210.876,False,False
16.0,128.681,0.03,Morty,0.0,211.449,0.0,211.449,False,False
17.0,128.936,0.02,Morty,0.0,209.51,0.0,209.51,False,False
18.0,129.538,0.02,Morty,0.0,204.41,0.0,204.41,False,False
19.0,130.477,0.01,Morty,0.0,194.999,0.0,194.999,False,False
20.0,131.595,0.02,Morty,0.0,181.504,0.0,181.504,False,False
21.0,132.506,0.01,Morty,0.0,168.667,0.0,168.667,False,False
22.0,132.773,0.04,Morty,0.0,164.58,0.0,164.58,False,False
23.0,131.962,0.02,Morty,0.0,176.531,0.0,176.531,False,False
24.0,129.705,0.04,Morty,0.0,202.868,0.0,202.868,False,False
25.0,126.039,0.04,Morty,0.0,223.921,0.0,223.921,False,False
26.0,121.612,0.01,Morty,0.0,213.523,0.0,213.523,False,False
27.0,117.207,0.03,Morty,0.0,164.269,0.0,164.269,False,False
28.0,113.606,0.03,Morty,0.0,95.166,0.0,95.166,False,False
29.0,111.523,0.04,Morty,0.0,43.366,0.0,43.366,False,False
30.0,111.27,0.02,Morty,0.0,36.494,0.0,36.494,False,False
31.0,112.554,0.02,Morty,0.0,70.089,0.0,70.089,False,False
32.0,114.944,0.03,Morty,0.0,123.884,0.0,123.884,False,False
33.0,118.014,0.03,Morty,0.0,176.189,0.0,176.189,False,False
34.0,121.347,0.0,Morty,0.0,211.658,0.0,211.658,False,False
35.0,124.621,0.03,Morty,0.0,224.857,0.0,224.857,False,False
36.0,127.646,0.0,Morty,0.0,218.001,0.0,218.001,False,False
37.0,130.259,0.04,Morty,0.0,197.341,0.0,197.341,False,False
38.0,132.302,0.03,Morty,0.0,171.679,0.0,171.679,False,False
39.0,133.634,0.03,Morty,0.0,150.447,0.0,150.447,False,False
40.0,134.237,0.04,Morty,0.0,139.674,0.0,139.674,False,False
41.0,134.274,0.02,Morty,0.0,139.001,0.0,139.001,False,False
42.0,133.947,0.04,Morty,0.0,144.953,0.0,144.953,False,False
43.0,133.461,0.02,Morty,0.0,153.418,0.0,153.418,False,False
44.0,133.018,0.04,Morty,0.0,160.714,0.0,160.714,False,False
45.0,132.822,0.01,Morty,0.0,163.816,0.0,163.816,False,False
46.0,133.076,0.01,Morty,0.0,159.773,0.0,159.773,False,False
47.0,133.984,0.03,Morty,0.0,144.289,0.0,144.289,False,False
48.0,135.748,0.02,Morty,0.0,109.479,0.0,109.479,False,False
49.0,136.978,0.03,Morty,0.0,81.534,0.0,81.534,False,False
50.0,136.08,0.03,Morty,0.0,102.227,0.0,102.227,False,False
51.0,135.922,0.03,Morty,0.0,105.719,0.0,105.719,False,False
52.0,136.336,0.02,Morty,0.0,96.501,0.0,96.501,False,False
53.0,137.157,0.01,Morty,0.0,77.207,0.0,77.207,False,False
54.0,138.22,0.03,Morty,0.0,50.242,0.0,50.242,False,False
55.0,139.358,0.03,Morty,0.0,18.855,0.0,18.855,False,False
56.0,140.406,0.02,Morty,0.0,-12.337,0.0,-12.337,False,False
57.0,141.198,0.03,Morty,0.0,-37.37,0.0,-37.37,False,False
