step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,182.236,0.05,Rick,0.0,0.0,-11.56,,0.0,0.0,0.0,0.0,0.0,0.0,,-11.56
2.0,174.968,0.08,Rick,0.0,0.0,20.994,,False,False,False,False,False,False,,20.994
3.0,170.337,0.06,Rick,0.0,0.0,39.434,,False,False,False,False,False,False,,39.434
4.0,167.684,0.05,Rick,0.0,0.0,49.195,,False,False,False,False,False,False,,49.195
5.0,166.477,0.07,Rick,0.0,0.0,53.441,,False,False,False,False,False,False,,53.441
6.0,166.263,0.05,Rick,0.0,0.0,54.181,,False,False,False,False,False,False,,54.181
7.0,166.638,0.07,Rick,0.0,0.0,52.881,,False,False,False,False,False,False,,52.881
8.0,167.233,0.09,Rick,0.0,0.0,50.796,,False,False,False,False,False,False,,50.796
9.0,167.712,0.06,Rick,0.0,0.0,49.094,,False,False,False,False,False,False,,49.094
10.0,167.821,0.09,Rick,0.0,0.0,48.707,,False,False,False,False,False,False,,48.707
11.0,167.409,0.06,Rick,0.0,0.0,50.173,,False,False,False,False,False,False,,50.173
12.0,166.359,0.08,Rick,0.0,0.0,53.85,,False,False,False,False,False,False,,53.85
13.0,164.559,0.07,Rick,0.0,0.0,59.938,,False,False,False,False,False,False,,59.938
14.0,161.941,0.09,Rick,0.0,0.0,68.312,,False,False,False,False,False,False,,68.312
15.0,158.661,0.06,Rick,0.0,0.0,77.994,,False,False,False,False,False,False,,77.994
16.0,155.212,0.05,Rick,0.0,0.0,87.21,,False,False,False,False,False,False,,87.21
17.0,152.162,0.07,Rick,0.0,0.0,94.532,,False,False,False,False,False,False,,94.532
18.0,150.082,0.06,Rick,0.0,0.0,99.082,,False,False,False,False,False,False,,99.082
19.0,149.465,0.06,Rick,0.0,0.0,100.362,,False,False,False,False,False,False,,100.362
20.0,150.339,0.06,Rick,0.0,0.0,98.54,,False,False,False,False,False,False,,98.54
21.0,152.027,0.06,Rick,0.0,0.0,94.84,,False,False,False,False,False,False,,94.84
22.0,153.697,0.06,Rick,0.0,0.0,90.944,,False,False,False,False,False,False,,90.944
23.0,154.52,0.05,Rick,0.0,0.0,88.94,,False,False,False,False,False,False,,88.94
24.0,153.76,0.06,Rick,0.0,0.0,90.792,,False,False,False,False,False,False,,90.792
25.0,151.257,0.06,Rick,0.0,0.0,96.557,,False,False,False,False,False,False,,96.557
26.0,147.705,0.08,Rick,0.0,0.0,103.838,,False,False,False,False,False,False,,103.838
27.0,143.992,0.07,Rick,0.0,0.0,110.324,,False,False,False,False,False,False,,110.324
28.0,141.007,0.06,Rick,0.0,0.0,114.707,,False,False,False,False,False,False,,114.707
29.0,139.534,0.09,Rick,0.0,0.0,116.594,,False,False,False,False,False,False,,116.594
30.0,139.75,0.09,Rick,0.0,0.0,116.328,,False,False,False,False,False,False,,116.328
31.0,140.917,0.08,Rick,0.0,0.0,114.826,,False,False,False,False,False,False,,114.826
32.0,142.092,0.09,Rick,0.0,0.0,113.199,,False,False,False,False,False,False,,113.199
33.0,142.333,0.08,Rick,0.0,0.0,112.852,,False,False,False,False,False,False,,112.852
34.0,140.796,0.06,Rick,0.0,0.0,114.988,,False,False,False,False,False,False,,114.988
35.0,137.237,0.08,Rick,0.0,0.0,119.177,,False,False,False,False,False,False,,119.177
36.0,132.312,0.07,Rick,0.0,0.0,123.233,,False,False,False,False,False,False,,123.233
37.0,126.873,0.09,Rick,0.0,0.0,125.361,,False,False,False,False,False,False,,125.361
38.0,121.775,0.06,Rick,0.0,0.0,125.116,,False,False,False,False,False,False,,125.116
39.0,117.802,0.08,Rick,0.0,0.0,123.423,,False,False,False,False,False,False,,123.423
40.0,115.329,0.05,Morty,0.0,121.703,123.423,,False,False,False,False,False,False,,245.126
41.0,114.106,0.0,Morty,0.0,120.665,123.423,,False,False,False,False,False,False,,244.088
42.0,113.75,0.0,Morty,0.0,120.339,123.423,,False,False,False,False,False,False,,243.762
43.0,113.876,0.04,Morty,0.0,120.456,123.423,,False,False,False,False,False,False,,243.878
44.0,114.1,0.02,Morty,0.0,120.66,123.423,,False,False,False,False,False,False,,244.082
45.0,114.04,0.03,Morty,0.0,120.605,123.423,,False,False,False,False,False,False,,244.028
46.0,113.312,0.03,Morty,0.0,119.924,123.423,,False,False,False,False,False,False,,243.347
47.0,111.536,0.03,Morty,0.0,118.076,123.423,,False,False,False,False,False,False,,241.499
48.0,108.329,0.03,Morty,0.0,114.072,123.423,,False,False,False,False,False,False,,237.495
49.0,103.985,0.02,Morty,0.0,107.282,123.423,,False,False,False,False,False,False,,230.704
50.0,99.942,0.04,Morty,0.0,99.548,123.423,,False,False,False,False,False,False,,222.971
51.0,96.84,0.04,Morty,0.0,92.69,123.423,,False,False,False,False,False,False,,216.112
52.0,94.539,0.02,Morty,0.0,87.085,123.423,,False,False,False,False,False,False,,210.508
53.0,92.901,0.01,Morty,0.0,82.825,123.423,,False,False,False,False,False,False,,206.248
54.0,91.786,0.03,Morty,0.0,79.797,123.423,,False,False,False,False,False,False,,203.22
55.0,91.055,0.0,Morty,0.0,77.754,123.423,,False,False,False,False,False,False,,201.177
56.0,90.566,0.04,Morty,0.0,76.366,123.423,,False,False,False,False,False,False,,199.789
57.0,90.181,0.02,Morty,0.0,75.258,123.423,,False,False,False,False,False,False,,198.681
58.0,89.76,0.04,Morty,0.0,74.029,123.423,,False,False,False,False,False,False,,197.452
59.0,89.171,0.0,Morty,0.0,72.289,123.423,,False,False,False,False,False,False,,195.712
60.0,88.349,0.0,Morty,0.0,69.813,123.423,,False,False,False,False,False,False,,193.236
61.0,87.326,0.03,Morty,0.0,66.649,123.423,,False,False,False,False,False,False,,190.072
62.0,86.151,0.02,Morty,0.0,62.912,123.423,,False,False,False,False,False,False,,186.334
63.0,84.878,0.04,Morty,0.0,58.729,123.423,,False,False,False,False,False,False,,182.152
64.0,83.556,0.01,Jerry,54.242,58.729,123.423,,False,False,False,False,False,False,,236.394
65.0,82.222,0.0,Jerry,49.569,58.729,123.423,,False,False,False,False,False,False,,231.721
66.0,80.899,0.0,Jerry,44.786,58.729,123.423,,False,False,False,False,False,False,,226.938
67.0,79.604,0.0,Jerry,39.963,58.729,123.423,,False,False,False,False,False,False,,222.115
68.0,78.354,0.0,Jerry,35.177,58.729,123.423,,False,False,False,False,False,False,,217.329
69.0,77.164,0.0,Jerry,30.5,58.729,123.423,,False,False,False,False,False,False,,212.652
70.0,76.03,0.0,Jerry,25.931,58.729,123.423,,False,False,False,False,False,False,,208.083
71.0,74.919,0.0,Jerry,21.35,58.729,123.423,,False,False,False,False,False,False,,203.502
72.0,73.791,0.0,Jerry,16.597,58.729,123.423,,False,False,False,False,False,False,,198.749
