step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
1.0,122.08274711361884,0.0,125.19263100334774,0.0,0.0,0.0,0.0,0.0,0.0,122.08274711361884
2.0,120.02514273523576,0.0,124.53254947493849,0.0,0.0,False,False,False,False,120.02514273523576
3.0,119.7170112566736,0.0,124.40330305497957,0.0,0.0,False,False,False,False,119.7170112566736
4.0,120.60333285326527,0.0,124.40330305497957,0.10000000149011612,124.75370289795228,False,False,False,False,120.60333285326527
5.0,122.21287523031339,0.10000000149011612,125.22250484669735,0.0,124.75370289795228,False,False,False,False,122.21287523031339
6.0,124.12127232915148,0.0,125.49839427094423,0.0,124.75370289795228,False,False,False,False,124.12127232915148
7.0,125.93024690732587,0.0,125.47949346750102,0.0,124.75370289795228,False,False,False,False,125.93024690732587
8.0,127.25589755293285,0.10000000149011612,125.29236167412967,0.0,124.75370289795228,False,False,False,False,127.25589755293285
9.0,127.75957819600973,0.10000000149011612,125.18283866608351,0.0,124.75370289795228,False,False,False,False,127.75957819600973
10.0,127.32988885021439,0.10000000149011612,125.27759839087662,0.0,124.75370289795228,False,False,False,False,127.32988885021439
11.0,126.19160851210194,0.0,125.45419853306669,0.0,124.75370289795228,False,False,False,False,126.19160851210194
12.0,124.64468316999852,0.10000000149011612,125.52098450261735,0.0,124.75370289795228,False,False,False,False,124.64468316999852
13.0,122.9892749416831,0.0,125.37139528163596,0.0,124.75370289795228,False,False,False,False,122.9892749416831
14.0,121.508672914387,0.0,125.04398150186944,0.0,124.75370289795228,False,False,False,False,121.508672914387
15.0,120.38458040451223,0.10000000149011612,124.67331049427412,0.0,124.75370289795228,False,False,False,False,120.38458040451223
16.0,119.64657531647299,0.10000000149011612,124.37264662625353,0.0,124.75370289795228,False,False,False,False,119.64657531647299
17.0,119.29128211714146,0.0,124.37264662625353,0.10000000149011612,124.21170188201268,False,False,False,False,119.29128211714146
18.0,119.31606673302988,0.0,124.37264662625353,0.10000000149011612,124.22327068522941,False,False,False,False,119.31606673302988
19.0,119.70898705958484,0.0,124.37264662625353,0.10000000149011612,124.39983149948932,False,False,False,False,119.70898705958484
20.0,120.4010894071854,0.0,124.37264662625353,0.0,124.67951684860316,False,False,False,False,120.4010894071854
21.0,121.23786466940764,0.10000000149011612,124.96431800759865,0.0,124.67951684860316,False,False,False,False,121.23786466940764
22.0,122.04551223264497,0.10000000149011612,125.1838230332263,0.0,124.67951684860316,False,False,False,False,122.04551223264497
23.0,122.65033885043984,0.10000000149011612,125.31258034405118,0.0,124.67951684860316,False,False,False,False,122.65033885043984
24.0,122.8948904423819,0.10000000149011612,125.35597943272114,0.0,124.67951684860316,False,False,False,False,122.8948904423819
