step,CGM,Ins,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation,Infos,Action,Total Reward
1.0,147.264,,Rick,0.0,0.0,104.668,,0.0,0.0,,0.13,104.668
2.0,144.67,,Rick,0.0,0.0,109.225,,False,False,,0.0,109.225
3.0,141.434,,Rick,0.0,0.0,114.125,,False,False,,0.13,114.125
4.0,137.883,,Rick,0.0,0.0,118.496,,False,False,,0.07,118.496
5.0,134.339,,Rick,0.0,0.0,121.809,,False,False,,0.04,121.809
6.0,131.121,,Rick,0.0,0.0,123.91,,False,False,,0.06,123.91
7.0,128.546,,Rick,0.0,0.0,124.97,,False,False,,0.13,124.97
8.0,126.931,,Rick,0.0,0.0,125.352,,False,False,,0.12,125.352
9.0,126.539,,Rick,0.0,0.0,125.412,,False,False,,0.11,125.412
10.0,127.295,,Rick,0.0,0.0,125.285,,False,False,,0.09,125.285
11.0,128.621,,Rick,0.0,0.0,124.947,,False,False,,0.02,124.947
12.0,129.827,,Rick,0.0,0.0,124.512,,False,False,,0.09,124.512
13.0,130.226,,Rick,0.0,0.0,124.341,,False,False,,0.03,124.341
14.0,129.21,,Rick,0.0,0.0,124.749,,False,False,,0.05,124.749
15.0,126.669,,Rick,0.0,0.0,125.393,,False,False,,0.01,125.393
16.0,123.229,,Rick,0.0,0.0,125.407,,False,False,,0.15,125.407
17.0,119.683,,Rick,0.0,0.0,124.389,,False,False,,0.02,124.389
18.0,116.826,,Morty,0.0,122.805,124.389,,False,False,,0.02,247.194
19.0,115.374,,Morty,0.0,121.739,124.389,,False,False,,0.01,246.128
20.0,115.57,,Morty,0.0,121.893,124.389,,False,False,,0.05,246.282
21.0,116.948,,Morty,0.0,122.887,124.389,,False,False,,0.01,247.275
22.0,118.887,,Morty,0.0,124.016,124.389,,False,False,,0.04,248.404
23.0,120.764,,Morty,0.0,124.81,124.389,,False,False,,0.02,249.199
24.0,122.011,,Rick,0.0,124.81,125.176,,False,False,,0.04,249.986
25.0,122.368,,Rick,0.0,124.81,125.256,,False,False,,0.12,250.067
26.0,122.04,,Rick,0.0,124.81,125.183,,False,False,,0.09,249.993
27.0,121.336,,Rick,0.0,124.81,124.994,,False,False,,0.03,249.804
28.0,120.565,,Rick,0.0,124.81,124.74,,False,False,,0.06,249.55
29.0,120.01,,Rick,0.0,124.81,124.526,,False,False,,0.04,249.337
30.0,119.799,,Rick,0.0,124.81,124.439,,False,False,,0.02,249.249
31.0,119.83,,Morty,0.0,124.451,124.439,,False,False,,0.08,248.89
32.0,119.947,,Morty,0.0,124.5,124.439,,False,False,,0.05,248.939
