,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
0,119.73400381491052,0.0,0.0,0.10000000149011612,124.41063691858483,0.0,0.0,0.0,0.0,119.73400381491052
0,120.69046035482654,0.0,0.0,0.10000000149011612,124.78461127660148,False,False,False,False,120.69046035482654
0,121.84618539042881,0.0,125.13470566839203,0.0,124.78461127660148,False,False,False,False,121.84618539042881
0,123.12633321447309,0.0,125.39245827911304,0.0,124.78461127660148,False,False,False,False,123.12633321447309
0,124.47038796696367,0.10000000149011612,125.51599939251332,0.0,124.78461127660148,False,False,False,False,124.47038796696367
0,125.82576341377643,0.06252584606409073,125.48801155017804,0.0,124.78461127660148,False,False,False,False,125.82576341377643
0,127.14398474148246,0.0,125.31382376380554,0.0,124.78461127660148,False,False,False,False,127.14398474148246
0,128.37843225036715,0.10000000149011612,125.01930336590954,0.0,124.78461127660148,False,False,False,False,128.37843225036715
0,129.48334140034336,0.0,124.64790366670525,0.0,124.78461127660148,False,False,False,False,129.48334140034336
0,130.41455760594914,0.10000000149011612,124.25582217122928,0.0,124.78461127660148,False,False,False,False,130.41455760594914
0,131.13006173767013,0.10000000149011612,123.90543219452843,0.0,124.78461127660148,False,False,False,False,131.13006173767013
0,131.58781364903896,0.10000000149011612,123.65887080898801,0.0,124.78461127660148,False,False,False,False,131.58781364903896
0,131.74513242596348,0.0,123.57009836365887,0.0,124.78461127660148,False,False,False,False,131.74513242596348
0,131.57279828472116,0.10000000149011612,123.66723583117573,0.0,124.78461127660148,False,False,False,False,131.57279828472116
0,131.12560483661701,0.10000000149011612,123.90774693643618,0.0,124.78461127660148,False,False,False,False,131.12560483661701
0,130.58474804776975,0.0,124.17634816263387,0.0,124.78461127660148,False,False,False,False,130.58474804776975
0,130.1592027926285,0.10000000149011612,124.37053414372826,0.0,124.78461127660148,False,False,False,False,130.1592027926285
0,130.05759290557168,0.10000000149011612,124.41466742074681,0.0,124.78461127660148,False,False,False,False,130.05759290557168
0,130.46735585019056,0.0,124.2314253807516,0.0,124.78461127660148,False,False,False,False,130.46735585019056
0,131.45023450901164,0.0,123.73481265184932,0.0,124.78461127660148,False,False,False,False,131.45023450901164
0,132.8795843945642,0.10000000149011612,122.86883609488984,0.0,124.78461127660148,False,False,False,False,132.8795843945642
0,134.58683765332376,0.10000000149011612,121.61118832430486,0.0,124.78461127660148,False,False,False,False,134.58683765332376
0,136.40339528612384,0.10000000149011612,120.0060912361738,0.0,124.78461127660148,False,False,False,False,136.40339528612384
0,138.16435178428915,0.10000000149011612,118.18741929573889,0.0,124.78461127660148,False,False,False,False,138.16435178428915
0,139.72701403231474,0.10000000149011612,116.35696368928848,0.0,124.78461127660148,False,False,False,False,139.72701403231474
0,140.98199999604785,0.0,114.73945509450061,0.0,124.78461127660148,False,False,False,False,140.98199999604785
0,141.82727159823068,0.10000000149011612,113.57598385006088,0.0,124.78461127660148,False,False,False,False,141.82727159823068
0,142.16073190758547,0.0,113.10060291767934,0.0,124.78461127660148,False,False,False,False,142.16073190758547
0,141.89838890943025,0.0,113.4753770315292,0.0,124.78461127660148,False,False,False,False,141.89838890943025
0,141.06501873369416,0.0,114.62782306219879,0.0,124.78461127660148,False,False,False,False,141.06501873369416
0,139.84858934013775,0.0,116.20601546362832,0.0,124.78461127660148,False,False,False,False,139.84858934013775
0,138.47345299317905,0.0,117.84150522732944,0.0,124.78461127660148,False,False,False,False,138.47345299317905
0,137.16414411593226,0.10000000149011612,119.25213863738668,0.0,124.78461127660148,False,False,False,False,137.16414411593226
0,136.13041725445572,0.0,120.26486348641743,0.0,124.78461127660148,False,False,False,False,136.13041725445572
0,135.49231363370706,0.10000000149011612,120.8455172841575,0.0,124.78461127660148,False,False,False,False,135.49231363370706
0,135.23516476179034,0.10000000149011612,121.0699146083457,0.0,124.78461127660148,False,False,False,False,135.23516476179034
0,135.31443394803517,0.10000000149011612,121.00132946045994,0.0,124.78461127660148,False,False,False,False,135.31443394803517
0,135.68562576016035,0.10000000149011612,120.67319497433596,0.0,124.78461127660148,False,False,False,False,135.68562576016035
0,136.30028786408755,0.0,120.10456331839919,0.0,124.78461127660148,False,False,False,False,136.30028786408755
0,137.08630439556373,0.0,119.3314996341262,0.0,124.78461127660148,False,False,False,False,137.08630439556373
0,137.93608954407725,0.10000000149011612,118.43775184751178,0.0,124.78461127660148,False,False,False,False,137.93608954407725
0,138.73414079705952,0.10000000149011612,117.54357643420929,0.0,124.78461127660148,False,False,False,False,138.73414079705952
0,139.3649446469732,0.0,116.7992077919979,0.0,124.78461127660148,False,False,False,False,139.3649446469732
0,139.71298302128278,0.10000000149011612,116.37430528758728,0.0,124.78461127660148,False,False,False,False,139.71298302128278
0,139.66272367293482,0.10000000149011612,116.43628848179605,0.0,124.78461127660148,False,False,False,False,139.66272367293482
0,139.09862330341005,0.0,117.11752326013607,0.0,124.78461127660148,False,False,False,False,139.09862330341005
0,137.9051229215361,0.0,118.47137783899905,0.0,124.78461127660148,False,False,False,False,137.9051229215361
0,135.96664313530687,0.10000000149011612,120.41713205087262,0.0,124.78461127660148,False,False,False,False,135.96664313530687
0,133.84905500534765,0.0,122.18450204731994,0.0,124.78461127660148,False,False,False,False,133.84905500534765
0,132.52032066119432,0.10000000149011612,123.1025285457846,0.0,124.78461127660148,False,False,False,False,132.52032066119432
0,131.3261521508809,0.10000000149011612,123.80195055394267,0.0,124.78461127660148,False,False,False,False,131.3261521508809
