step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,136.808,0.05,Rick,0.0,0.0,119.611,,0.0,0.0,0.0,0.0,0.0,0.0,,119.611
2.0,133.033,0.08,Rick,0.0,0.0,122.766,,False,False,False,False,False,False,,122.766
3.0,129.549,0.06,Rick,0.0,0.0,124.623,,False,False,False,False,False,False,,124.623
4.0,126.342,0.05,Rick,0.0,0.0,125.437,,False,False,False,False,False,False,,125.437
5.0,123.473,0.07,Rick,0.0,0.0,125.439,,False,False,False,False,False,False,,125.439
6.0,121.047,0.05,Rick,0.0,0.0,124.905,,False,False,False,False,False,False,,124.905
7.0,119.207,0.07,Rick,0.0,0.0,124.172,,False,False,False,False,False,False,,124.172
8.0,118.12,0.09,Morty,0.0,123.607,124.172,,False,False,False,False,False,False,,247.779
9.0,117.939,0.0,Morty,0.0,123.503,124.172,,False,False,False,False,False,False,,247.675
10.0,118.646,0.03,Morty,0.0,123.892,124.172,,False,False,False,False,False,False,,248.064
11.0,119.953,0.02,Morty,0.0,124.503,124.172,,False,False,False,False,False,False,,248.675
12.0,121.519,0.03,Morty,0.0,125.047,124.172,,False,False,False,False,False,False,,249.219
13.0,123.009,0.0,Rick,0.0,125.047,125.375,,False,False,False,False,False,False,,250.421
14.0,124.11,0.09,Rick,0.0,125.047,125.498,,False,False,False,False,False,False,,250.545
15.0,124.618,0.06,Rick,0.0,125.047,125.52,,False,False,False,False,False,False,,250.567
16.0,124.49,0.05,Rick,0.0,125.047,125.517,,False,False,False,False,False,False,,250.564
17.0,123.718,0.07,Rick,0.0,125.047,125.465,,False,False,False,False,False,False,,250.512
18.0,122.298,0.06,Rick,0.0,125.047,125.241,,False,False,False,False,False,False,,250.288
19.0,120.249,0.06,Rick,0.0,125.047,124.622,,False,False,False,False,False,False,,249.668
20.0,117.726,0.06,Rick,0.0,125.047,123.377,,False,False,False,False,False,False,,248.424
21.0,115.092,0.06,Morty,0.0,121.512,123.377,,False,False,False,False,False,False,,244.889
22.0,112.754,0.02,Morty,0.0,119.371,123.377,,False,False,False,False,False,False,,242.749
23.0,111.119,0.02,Morty,0.0,117.604,123.377,,False,False,False,False,False,False,,240.981
24.0,110.544,0.0,Morty,0.0,116.929,123.377,,False,False,False,False,False,False,,240.307
25.0,111.074,0.01,Morty,0.0,117.552,123.377,,False,False,False,False,False,False,,240.929
26.0,112.286,0.04,Morty,0.0,118.889,123.377,,False,False,False,False,False,False,,242.266
27.0,113.657,0.02,Morty,0.0,120.252,123.377,,False,False,False,False,False,False,,243.629
28.0,114.662,0.03,Morty,0.0,121.152,123.377,,False,False,False,False,False,False,,244.53
29.0,114.83,0.03,Morty,0.0,121.295,123.377,,False,False,False,False,False,False,,244.673
30.0,114.002,0.0,Morty,0.0,120.57,123.377,,False,False,False,False,False,False,,243.948
31.0,112.477,0.04,Morty,0.0,119.088,123.377,,False,False,False,False,False,False,,242.465
32.0,110.661,0.01,Morty,0.0,117.069,123.377,,False,False,False,False,False,False,,240.446
33.0,108.96,0.01,Morty,0.0,114.928,123.377,,False,False,False,False,False,False,,238.305
34.0,107.741,0.01,Morty,0.0,113.245,123.377,,False,False,False,False,False,False,,236.623
35.0,107.15,0.01,Morty,0.0,112.385,123.377,,False,False,False,False,False,False,,235.763
36.0,106.999,0.0,Morty,0.0,112.16,123.377,,False,False,False,False,False,False,,235.538
37.0,107.024,0.03,Morty,0.0,112.198,123.377,,False,False,False,False,False,False,,235.575
38.0,106.963,0.04,Morty,0.0,112.107,123.377,,False,False,False,False,False,False,,235.484
39.0,106.572,0.03,Morty,0.0,111.515,123.377,,False,False,False,False,False,False,,234.893
40.0,105.719,0.02,Morty,0.0,110.181,123.377,,False,False,False,False,False,False,,233.559
41.0,104.441,0.0,Morty,0.0,108.069,123.377,,False,False,False,False,False,False,,231.446
42.0,102.812,0.0,Morty,0.0,105.178,123.377,,False,False,False,False,False,False,,228.555
43.0,100.904,0.04,Morty,0.0,101.511,123.377,,False,False,False,False,False,False,,224.889
44.0,98.791,0.02,Morty,0.0,97.096,123.377,,False,False,False,False,False,False,,220.474
45.0,96.544,0.03,Morty,0.0,91.994,123.377,,False,False,False,False,False,False,,215.371
46.0,94.237,0.03,Morty,0.0,86.315,123.377,,False,False,False,False,False,False,,209.692
47.0,91.94,0.03,Morty,0.0,80.221,123.377,,False,False,False,False,False,False,,203.598
48.0,89.724,0.03,Morty,0.0,73.926,123.377,,False,False,False,False,False,False,,197.303
49.0,86.916,0.02,Morty,0.0,65.357,123.377,,False,False,False,False,False,False,,188.735
50.0,83.393,0.04,Morty,0.0,53.681,123.377,,False,False,False,False,False,False,,177.058
51.0,81.703,0.04,Jerry,47.712,53.681,123.377,,False,False,False,False,False,False,,224.77
52.0,81.542,0.0,Jerry,47.131,53.681,123.377,,False,False,False,False,False,False,,224.189
53.0,82.606,0.0,Jerry,50.929,53.681,123.377,,False,False,False,False,False,False,,227.988
54.0,84.589,0.0,Jerry,57.761,53.681,123.377,,False,False,False,False,False,False,,234.82
55.0,87.188,0.0,Jerry,66.217,53.681,123.377,,False,False,False,False,False,False,,243.275
56.0,90.097,0.0,Morty,66.217,75.014,123.377,,False,False,False,False,False,False,,264.608
57.0,93.013,0.02,Morty,66.217,83.123,123.377,,False,False,False,False,False,False,,272.717
58.0,95.632,0.04,Morty,66.217,89.801,123.377,,False,False,False,False,False,False,,279.395
59.0,97.684,0.0,Morty,66.217,94.635,123.377,,False,False,False,False,False,False,,284.229
60.0,99.113,0.0,Morty,66.217,97.794,123.377,,False,False,False,False,False,False,,287.388
61.0,100.177,0.03,Morty,66.217,100.034,123.377,,False,False,False,False,False,False,,289.628
62.0,101.203,0.02,Morty,66.217,102.105,123.377,,False,False,False,False,False,False,,291.699
63.0,102.519,0.04,Morty,66.217,104.636,123.377,,False,False,False,False,False,False,,294.23
64.0,104.406,0.01,Morty,66.217,108.01,123.377,,False,False,False,False,False,False,,297.604
65.0,106.854,0.0,Morty,66.217,111.943,123.377,,False,False,False,False,False,False,,301.537
66.0,109.419,0.04,Morty,66.217,115.529,123.377,,False,False,False,False,False,False,,305.123
67.0,111.559,0.0,Morty,66.217,118.102,123.377,,False,False,False,False,False,False,,307.696
68.0,112.735,0.04,Morty,66.217,119.352,123.377,,False,False,False,False,False,False,,308.946
69.0,112.466,0.01,Morty,66.217,119.076,123.377,,False,False,False,False,False,False,,308.67
70.0,110.635,0.02,Morty,66.217,117.037,123.377,,False,False,False,False,False,False,,306.631
71.0,107.669,0.03,Morty,66.217,113.142,123.377,,False,False,False,False,False,False,,302.736
72.0,104.117,0.04,Morty,66.217,107.512,123.377,,False,False,False,False,False,False,,297.106
73.0,100.529,0.02,Morty,66.217,100.755,123.377,,False,False,False,False,False,False,,290.349
74.0,97.406,0.04,Morty,66.217,94.002,123.377,,False,False,False,False,False,False,,283.596
75.0,94.98,0.01,Morty,66.217,88.194,123.377,,False,False,False,False,False,False,,277.788
76.0,93.073,0.02,Morty,66.217,83.281,123.377,,False,False,False,False,False,False,,272.875
77.0,91.413,0.0,Morty,66.217,78.76,123.377,,False,False,False,False,False,False,,268.354
78.0,89.732,0.0,Morty,66.217,73.947,123.377,,False,False,False,False,False,False,,263.541
79.0,87.791,0.02,Morty,66.217,68.1,123.377,,False,False,False,False,False,False,,257.694
80.0,85.548,0.04,Morty,66.217,60.945,123.377,,False,False,False,False,False,False,,250.539
81.0,83.245,0.01,Morty,66.217,53.167,123.377,,False,False,False,False,False,False,,242.761
82.0,81.193,0.04,Jerry,45.861,53.167,123.377,,False,False,False,False,False,False,,222.405
83.0,79.7,0.0,Jerry,40.326,53.167,123.377,,False,False,False,False,False,False,,216.871
84.0,79.039,0.0,Jerry,37.815,53.167,123.377,,False,False,False,False,False,False,,214.36
85.0,79.255,0.0,Jerry,38.641,53.167,123.377,,False,False,False,False,False,False,,215.185
86.0,80.057,0.0,Jerry,41.667,53.167,123.377,,False,False,False,False,False,False,,218.211
87.0,81.077,0.0,Jerry,45.44,53.167,123.377,,False,False,False,False,False,False,,221.984
88.0,81.95,0.0,Jerry,48.596,53.167,123.377,,False,False,False,False,False,False,,225.14
89.0,82.339,0.0,Jerry,49.984,53.167,123.377,,False,False,False,False,False,False,,226.529
90.0,82.101,0.0,Jerry,49.139,53.167,123.377,,False,False,False,False,False,False,,225.683
91.0,81.379,0.0,Jerry,46.538,53.167,123.377,,False,False,False,False,False,False,,223.082
