step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,145.272,0.05,Rick,0.0,0.0,108.219,,0.0,0.0,0.0,0.0,0.0,0.0,,108.219
2.0,143.902,0.08,Rick,0.0,0.0,110.468,,False,False,False,False,False,False,,110.468
3.0,143.448,0.06,Rick,0.0,0.0,111.179,,False,False,False,False,False,False,,111.179
4.0,143.624,0.05,Rick,0.0,0.0,110.905,,False,False,False,False,False,False,,110.905
5.0,144.103,0.07,Rick,0.0,0.0,110.147,,False,False,False,False,False,False,,110.147
6.0,144.544,0.05,Rick,0.0,0.0,109.432,,False,False,False,False,False,False,,109.432
7.0,144.603,0.07,Rick,0.0,0.0,109.337,,False,False,False,False,False,False,,109.337
8.0,143.936,0.09,Rick,0.0,0.0,110.414,,False,False,False,False,False,False,,110.414
9.0,142.265,0.06,Rick,0.0,0.0,112.95,,False,False,False,False,False,False,,112.95
10.0,139.674,0.09,Rick,0.0,0.0,116.422,,False,False,False,False,False,False,,116.422
11.0,136.782,0.06,Rick,0.0,0.0,119.637,,False,False,False,False,False,False,,119.637
12.0,134.333,0.08,Rick,0.0,0.0,121.813,,False,False,False,False,False,False,,121.813
13.0,133.072,0.07,Rick,0.0,0.0,122.739,,False,False,False,False,False,False,,122.739
14.0,133.649,0.09,Rick,0.0,0.0,122.332,,False,False,False,False,False,False,,122.332
15.0,136.134,0.06,Rick,0.0,0.0,120.261,,False,False,False,False,False,False,,120.261
16.0,139.725,0.05,Rick,0.0,0.0,116.359,,False,False,False,False,False,False,,116.359
17.0,143.428,0.07,Rick,0.0,0.0,111.209,,False,False,False,False,False,False,,111.209
18.0,146.249,0.06,Rick,0.0,0.0,106.518,,False,False,False,False,False,False,,106.518
19.0,147.303,0.06,Rick,0.0,0.0,104.596,,False,False,False,False,False,False,,104.596
20.0,146.344,0.06,Rick,0.0,0.0,106.348,,False,False,False,False,False,False,,106.348
21.0,144.089,0.06,Rick,0.0,0.0,110.169,,False,False,False,False,False,False,,110.169
22.0,141.469,0.06,Rick,0.0,0.0,114.077,,False,False,False,False,False,False,,114.077
23.0,139.413,0.05,Rick,0.0,0.0,116.741,,False,False,False,False,False,False,,116.741
24.0,138.757,0.06,Rick,0.0,0.0,117.517,,False,False,False,False,False,False,,117.517
25.0,139.747,0.06,Rick,0.0,0.0,116.333,,False,False,False,False,False,False,,116.333
26.0,141.74,0.08,Rick,0.0,0.0,113.699,,False,False,False,False,False,False,,113.699
27.0,143.902,0.07,Rick,0.0,0.0,110.467,,False,False,False,False,False,False,,110.467
28.0,145.397,0.06,Rick,0.0,0.0,108.005,,False,False,False,False,False,False,,108.005
29.0,145.469,0.09,Rick,0.0,0.0,107.881,,False,False,False,False,False,False,,107.881
30.0,143.832,0.09,Rick,0.0,0.0,110.579,,False,False,False,False,False,False,,110.579
31.0,140.901,0.08,Rick,0.0,0.0,114.848,,False,False,False,False,False,False,,114.848
32.0,137.252,0.09,Rick,0.0,0.0,119.162,,False,False,False,False,False,False,,119.162
33.0,133.459,0.08,Rick,0.0,0.0,122.469,,False,False,False,False,False,False,,122.469
34.0,130.047,0.06,Rick,0.0,0.0,124.419,,False,False,False,False,False,False,,124.419
35.0,127.259,0.08,Rick,0.0,0.0,125.292,,False,False,False,False,False,False,,125.292
36.0,124.908,0.07,Rick,0.0,0.0,125.524,,False,False,False,False,False,False,,125.524
37.0,122.714,0.09,Rick,0.0,0.0,125.324,,False,False,False,False,False,False,,125.324
38.0,120.396,0.06,Rick,0.0,0.0,124.678,,False,False,False,False,False,False,,124.678
39.0,117.695,0.08,Rick,0.0,0.0,123.359,,False,False,False,False,False,False,,123.359
40.0,114.489,0.05,Morty,0.0,121.003,123.359,,False,False,False,False,False,False,,244.362
41.0,110.851,0.0,Morty,0.0,117.292,123.359,,False,False,False,False,False,False,,240.651
