step,CGM,Ins,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation,Infos,Action,Total Reward
569.0,59.402,,Jerry,-53.37,46.026,124.457,,False,False,,0.0,117.114
570.0,57.703,,Jerry,-62.774,46.026,124.457,,False,False,,0.0,107.709
571.0,55.002,,Jerry,-78.212,46.026,124.457,,False,False,,0.0,92.272
572.0,51.982,,Jerry,-96.198,46.026,124.457,,False,False,,0.0,74.285
573.0,49.323,,Jerry,-112.665,46.026,124.457,,False,False,,0.0,57.818
574.0,47.648,,Jerry,-123.337,46.026,124.457,,False,False,,0.0,47.146
575.0,47.24,,Jerry,-125.975,46.026,124.457,,False,False,,0.0,44.509
576.0,47.866,,Jerry,-121.94,46.026,124.457,,False,False,,0.0,48.543
577.0,49.178,,Jerry,-113.578,46.026,124.457,,False,False,,0.0,56.905
578.0,50.832,,Jerry,-103.25,46.026,124.457,,False,False,,0.0,67.233
579.0,52.499,,Jerry,-93.067,46.026,124.457,,False,False,,0.0,77.416
580.0,53.969,,Jerry,-84.278,46.026,124.457,,False,False,,0.0,86.205
581.0,55.208,,Jerry,-77.016,46.026,124.457,,False,False,,0.0,93.468
582.0,56.218,,Jerry,-71.189,46.026,124.457,,False,False,,0.0,99.295
583.0,57.002,,Jerry,-66.72,46.026,124.457,,False,False,,0.0,103.764
584.0,57.568,,Jerry,-63.533,46.026,124.457,,False,False,,0.0,106.951
585.0,57.931,,Jerry,-61.499,46.026,124.457,,False,False,,0.0,108.984
586.0,58.127,,Jerry,-60.403,46.026,124.457,,False,False,,0.0,110.08
587.0,58.197,,Jerry,-60.016,46.026,124.457,,False,False,,0.0,110.467
588.0,58.179,,Jerry,-60.115,46.026,124.457,,False,False,,0.0,110.368
589.0,58.112,,Jerry,-60.49,46.026,124.457,,False,False,,0.0,109.993
590.0,58.022,,Jerry,-60.989,46.026,124.457,,False,False,,0.0,109.495
591.0,57.922,,Jerry,-61.546,46.026,124.457,,False,False,,0.0,108.938
592.0,57.82,,Jerry,-62.115,46.026,124.457,,False,False,,0.0,108.369
593.0,57.725,,Jerry,-62.65,46.026,124.457,,False,False,,0.0,107.834
594.0,57.644,,Jerry,-63.103,46.026,124.457,,False,False,,0.0,107.38
595.0,57.586,,Jerry,-63.429,46.026,124.457,,False,False,,0.0,107.054
596.0,57.559,,Jerry,-63.579,46.026,124.457,,False,False,,0.0,106.905
597.0,57.572,,Jerry,-63.506,46.026,124.457,,False,False,,0.0,106.977
598.0,57.633,,Jerry,-63.164,46.026,124.457,,False,False,,0.0,107.32
599.0,56.86,,Jerry,-67.528,46.026,124.457,,False,False,,0.0,102.955
600.0,54.878,,Jerry,-78.936,46.026,124.457,,False,False,,0.0,91.548
601.0,54.408,,Jerry,-81.694,46.026,124.457,,False,False,,0.0,88.789
602.0,55.188,,Jerry,-77.132,46.026,124.457,,False,False,,0.0,93.352
603.0,56.96,,Jerry,-66.96,46.026,124.457,,False,False,,0.0,103.523
604.0,59.464,,Jerry,-53.034,46.026,124.457,,False,False,,0.0,117.45
605.0,62.44,,Jerry,-37.16,46.026,124.457,,False,False,,0.0,133.323
606.0,65.629,,Jerry,-20.971,46.026,124.457,,False,False,,0.0,149.512
607.0,68.772,,Jerry,-5.849,46.026,124.457,,False,False,,0.0,164.635
608.0,71.608,,Jerry,7.093,46.026,124.457,,False,False,,0.0,177.576
609.0,73.902,,Jerry,17.066,46.026,124.457,,False,False,,0.0,187.55
610.0,75.552,,Jerry,23.971,46.026,124.457,,False,False,,0.0,194.455
611.0,76.663,,Jerry,28.496,46.026,124.457,,False,False,,0.0,198.979
612.0,77.387,,Jerry,31.386,46.026,124.457,,False,False,,0.0,201.869
613.0,77.874,,Jerry,33.303,46.026,124.457,,False,False,,0.0,203.786
614.0,78.27,,Jerry,34.851,46.026,124.457,,False,False,,0.0,205.334
615.0,78.708,,Jerry,36.548,46.026,124.457,,False,False,,0.0,207.031
616.0,79.297,,Jerry,38.801,46.026,124.457,,False,False,,0.0,209.285
617.0,80.139,,Jerry,41.974,46.026,124.457,,False,False,,0.0,212.457
618.0,81.337,,Jerry,46.387,46.026,124.457,,False,False,,0.0,216.87
619.0,82.969,,Jerry,52.205,46.026,124.457,,False,False,,0.0,222.689
620.0,84.962,,Jerry,59.008,46.026,124.457,,False,False,,0.0,229.492
621.0,87.015,,Jerry,65.671,46.026,124.457,,False,False,,0.0,236.154
622.0,88.779,,Morty,65.671,71.116,124.457,,False,False,,0.0,261.244
623.0,89.915,,Morty,65.671,74.484,124.457,,False,False,,0.02,264.612
624.0,90.142,,Morty,65.671,75.145,124.457,,False,False,,0.04,265.273
625.0,89.451,,Morty,65.671,73.12,124.457,,False,False,,0.01,263.248
626.0,88.213,,Morty,65.671,69.396,124.457,,False,False,,0.03,259.524
627.0,86.879,,Morty,65.671,65.24,124.457,,False,False,,0.03,255.368
628.0,85.885,,Morty,65.671,62.046,124.457,,False,False,,0.03,252.174
629.0,85.621,,Morty,65.671,61.187,124.457,,False,False,,0.02,251.315
630.0,86.295,,Morty,65.671,63.376,124.457,,False,False,,0.07,253.504
631.0,87.846,,Morty,65.671,68.268,124.457,,False,False,,0.02,258.395
632.0,90.142,,Morty,65.671,75.143,124.457,,False,False,,0.01,265.271
633.0,93.044,,Morty,65.671,83.204,124.457,,False,False,,0.01,273.332
634.0,96.405,,Morty,65.671,91.663,124.457,,False,False,,0.01,281.791
635.0,100.065,,Morty,65.671,99.803,124.457,,False,False,,0.04,289.931
636.0,103.846,,Morty,65.671,107.039,124.457,,False,False,,0.01,297.167
637.0,107.57,,Morty,65.671,112.999,124.457,,False,False,,0.07,303.127
638.0,111.064,,Morty,65.671,117.541,124.457,,False,False,,0.04,307.668
639.0,114.175,,Morty,65.671,120.727,124.457,,False,False,,0.06,310.854
640.0,116.834,,Morty,65.671,122.81,124.457,,False,False,,0.03,312.938
641.0,119.098,,Morty,65.671,124.12,124.457,,False,False,,0.07,314.248
642.0,121.054,,Morty,65.671,124.907,124.457,,False,False,,0.03,315.034
643.0,122.79,,Rick,65.671,124.907,125.338,,False,False,,0.06,315.915
644.0,124.397,,Rick,65.671,124.907,125.513,,False,False,,0.09,316.09
645.0,125.967,,Rick,65.671,124.907,125.476,,False,False,,0.02,316.054
646.0,127.595,,Rick,65.671,124.907,125.221,,False,False,,0.02,315.798
647.0,129.373,,Rick,65.671,124.907,124.689,,False,False,,0.07,315.267
648.0,131.398,,Rick,65.671,124.907,123.763,,False,False,,0.13,314.34
649.0,134.713,,Rick,65.671,124.907,121.509,,False,False,,0.0,312.086
650.0,139.73,,Rick,65.671,124.907,116.354,,False,False,,0.06,306.931
651.0,143.418,,Rick,65.671,124.907,111.225,,False,False,,0.15,301.803
652.0,145.955,,Rick,65.671,124.907,107.038,,False,False,,0.0,297.615
653.0,147.521,,Rick,65.671,124.907,104.186,,False,False,,0.11,294.763
654.0,148.295,,Rick,65.671,124.907,102.702,,False,False,,0.15,293.279
655.0,148.455,,Rick,65.671,124.907,102.388,,False,False,,0.04,292.965
656.0,148.182,,Rick,65.671,124.907,102.921,,False,False,,0.01,293.499
657.0,147.654,,Rick,65.671,124.907,103.934,,False,False,,0.04,294.511
658.0,147.053,,Rick,65.671,124.907,105.06,,False,False,,0.1,295.638
659.0,146.544,,Rick,65.671,124.907,105.991,,False,False,,0.1,296.568
