step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,130.073,0.04,Morty,0.0,199.264,0.0,199.264,0.0,0.0
2.0,132.288,0.0,Morty,0.0,171.887,0.0,171.887,False,False
3.0,134.113,0.02,Morty,0.0,141.945,0.0,141.945,False,False
4.0,135.59,0.07,Morty,0.0,112.85,0.0,112.85,False,False
5.0,136.8,0.04,Morty,0.0,85.765,0.0,85.765,False,False
6.0,137.846,0.06,Morty,0.0,59.971,0.0,59.971,False,False
7.0,138.844,0.0,Morty,0.0,33.346,0.0,33.346,False,False
8.0,139.911,0.0,Morty,0.0,2.664,0.0,2.664,False,False
9.0,141.147,0.06,Morty,0.0,-35.715,0.0,-35.715,False,False
10.0,142.528,0.07,Rick,0.0,-35.715,-82.229,-117.944,False,False
11.0,143.848,0.02,Rick,0.0,-35.715,-130.238,-165.952,False,False
12.0,144.857,0.09,Rick,0.0,-35.715,-169.307,-205.022,False,False
13.0,145.306,0.03,Rick,0.0,-35.715,-187.345,-223.06,False,False
14.0,144.978,0.05,Rick,0.0,-35.715,-174.104,-209.819,False,False
15.0,143.854,0.01,Rick,0.0,-35.715,-130.46,-166.174,False,False
16.0,142.218,0.03,Rick,0.0,-35.715,-71.447,-107.162,False,False
17.0,140.419,0.02,Rick,0.0,-35.715,-12.753,-48.467,False,False
18.0,138.808,0.02,Rick,0.0,-35.715,34.347,-1.368,False,False
19.0,137.71,0.01,Morty,0.0,63.461,34.347,97.808,False,False
20.0,137.317,0.05,Morty,0.0,73.293,34.347,107.64,False,False
21.0,137.618,0.01,Morty,0.0,65.783,34.347,100.13,False,False
22.0,138.557,0.04,Morty,0.0,41.199,34.347,75.546,False,False
23.0,140.079,0.02,Morty,0.0,-2.366,34.347,31.981,False,False
24.0,142.103,0.04,Rick,0.0,-2.366,-67.509,-69.875,False,False
25.0,144.41,0.08,Rick,0.0,-2.366,-151.756,-154.122,False,False
26.0,146.57,0.09,Rick,0.0,-2.366,-240.259,-242.625,False,False
27.0,148.104,0.03,Rick,0.0,-2.366,-308.804,-311.17,False,False
28.0,148.535,0.06,Rick,0.0,-2.366,-328.917,-331.283,False,False
29.0,147.463,0.04,Rick,0.0,-2.366,-279.6,-281.966,False,False
30.0,144.954,0.02,Rick,0.0,-2.366,-173.155,-175.521,False,False
31.0,141.773,0.08,Rick,0.0,-2.366,-56.322,-58.688,False,False
32.0,138.841,0.08,Rick,0.0,-2.366,33.428,31.062,False,False
33.0,137.08,0.03,Morty,0.0,79.081,33.428,112.509,False,False
34.0,137.303,0.0,Morty,0.0,73.64,33.428,107.068,False,False
35.0,139.681,0.05,Morty,0.0,9.462,33.428,42.89,False,False
36.0,143.421,0.0,Morty,0.0,-114.342,33.428,-80.914,False,False
37.0,147.515,0.05,Rick,0.0,-114.342,-281.934,-396.277,False,False
38.0,150.956,0.03,Rick,0.0,-114.342,-448.688,-563.031,False,False
39.0,152.815,0.07,Rick,0.0,-114.342,-548.654,-662.997,False,False
40.0,152.644,0.05,Rick,0.0,-114.342,-539.188,-653.531,False,False
41.0,150.713,0.09,Rick,0.0,-114.342,-436.156,-550.498,False,False
42.0,147.451,0.09,Rick,0.0,-114.342,-279.036,-393.379,False,False
43.0,143.286,0.02,Rick,0.0,-114.342,-109.393,-223.736,False,False
44.0,138.649,0.07,Rick,0.0,-114.342,38.707,-75.636,False,False
45.0,133.967,0.01,Morty,0.0,144.593,38.707,183.3,False,False
46.0,129.669,0.01,Morty,0.0,203.198,38.707,241.905,False,False
47.0,126.184,0.03,Morty,0.0,223.598,38.707,262.304,False,False
48.0,123.941,0.07,Morty,0.0,223.878,38.707,262.585,False,False
49.0,122.535,0.03,Morty,0.0,218.923,38.707,257.629,False,False
50.0,120.943,0.05,Morty,0.0,208.545,38.707,247.251,False,False
51.0,119.848,0.03,Morty,0.0,198.455,38.707,237.162,False,False
52.0,119.155,0.02,Morty,0.0,190.839,38.707,229.546,False,False
53.0,118.773,0.01,Morty,0.0,186.23,38.707,224.937,False,False
54.0,118.61,0.03,Morty,0.0,184.167,38.707,222.874,False,False
55.0,118.573,0.03,Morty,0.0,183.688,38.707,222.395,False,False
56.0,118.569,0.06,Morty,0.0,183.645,38.707,222.352,False,False
57.0,118.508,0.05,Morty,0.0,182.854,38.707,221.561,False,False
58.0,118.297,0.05,Morty,0.0,180.07,38.707,218.777,False,False
59.0,117.856,0.06,Morty,0.0,173.964,38.707,212.671,False,False
60.0,117.174,0.03,Morty,0.0,163.752,38.707,202.459,False,False
61.0,116.343,0.05,Morty,0.0,150.059,38.707,188.766,False,False
62.0,115.479,0.02,Morty,0.0,134.357,38.707,173.064,False,False
63.0,114.698,0.02,Morty,0.0,118.865,38.707,157.572,False,False
64.0,114.106,0.07,Morty,0.0,106.312,38.707,145.019,False,False
65.0,113.76,0.01,Morty,0.0,98.652,38.707,137.359,False,False
66.0,113.642,0.0,Morty,0.0,95.985,38.707,134.692,False,False
67.0,113.717,0.01,Morty,0.0,97.688,38.707,136.395,False,False
68.0,113.95,0.02,Morty,0.0,102.907,38.707,141.614,False,False
69.0,114.299,0.0,Morty,0.0,110.493,38.707,149.199,False,False
70.0,114.668,0.05,Morty,0.0,118.24,38.707,156.947,False,False
71.0,114.882,0.02,Morty,0.0,122.623,38.707,161.329,False,False
72.0,114.751,0.03,Morty,0.0,119.96,38.707,158.666,False,False
73.0,114.084,0.03,Morty,0.0,105.849,38.707,144.556,False,False
74.0,112.731,0.07,Morty,0.0,74.474,38.707,113.181,False,False
75.0,110.783,0.07,Morty,0.0,22.873,38.707,61.58,False,False
76.0,108.694,0.07,Morty,0.0,-40.872,38.707,-2.165,False,False
77.0,107.001,0.05,Morty,0.0,-98.961,38.707,-60.254,False,False
78.0,106.238,0.01,Morty,0.0,-127.016,38.707,-88.309,False,False
79.0,106.885,0.03,Morty,0.0,-103.137,38.707,-64.43,False,False
80.0,109.099,0.06,Morty,0.0,-27.841,38.707,10.866,False,False
81.0,112.546,0.01,Morty,0.0,69.91,38.707,108.617,False,False
82.0,116.787,0.07,Morty,0.0,157.551,38.707,196.258,False,False
83.0,121.381,0.02,Morty,0.0,211.901,38.707,250.608,False,False
84.0,125.894,0.02,Morty,0.0,224.201,38.707,262.908,False,False
85.0,129.936,0.01,Morty,0.0,200.635,38.707,239.342,False,False
86.0,133.183,0.01,Morty,0.0,158.032,38.707,196.739,False,False
87.0,135.325,0.04,Morty,0.0,118.387,38.707,157.093,False,False
88.0,136.052,0.07,Morty,0.0,102.85,38.707,141.557,False,False
89.0,135.1,0.06,Morty,0.0,122.982,38.707,161.688,False,False
90.0,132.486,0.05,Morty,0.0,168.953,38.707,207.66,False,False
91.0,128.646,0.07,Morty,0.0,211.709,38.707,250.416,False,False
92.0,124.107,0.03,Morty,0.0,224.202,38.707,262.909,False,False
93.0,119.397,0.07,Morty,0.0,193.61,38.707,232.317,False,False
94.0,115.046,0.01,Morty,0.0,125.921,38.707,164.628,False,False
95.0,111.581,0.04,Morty,0.0,44.933,38.707,83.64,False,False
96.0,109.53,0.03,Morty,0.0,-14.32,38.707,24.387,False,False
97.0,109.421,0.03,Morty,0.0,-17.709,38.707,20.997,False,False
98.0,111.782,0.01,Morty,0.0,50.274,38.707,88.981,False,False
99.0,114.286,0.02,Morty,0.0,110.215,38.707,148.922,False,False
100.0,113.542,0.02,Morty,0.0,93.72,38.707,132.426,False,False
101.0,113.427,0.06,Morty,0.0,91.061,38.707,129.768,False,False
102.0,113.791,0.04,Morty,0.0,99.359,38.707,138.066,False,False
103.0,114.486,0.07,Morty,0.0,114.46,38.707,153.167,False,False
104.0,115.364,0.01,Morty,0.0,132.139,38.707,170.846,False,False
105.0,116.274,0.07,Morty,0.0,148.864,38.707,187.571,False,False
106.0,117.07,0.05,Morty,0.0,162.115,38.707,200.822,False,False
107.0,117.601,0.05,Morty,0.0,170.26,38.707,208.967,False,False
108.0,117.72,0.01,Morty,0.0,171.997,38.707,210.704,False,False
109.0,117.291,0.02,Morty,0.0,165.57,38.707,204.277,False,False
110.0,116.271,0.05,Morty,0.0,148.804,38.707,187.511,False,False
111.0,114.751,0.03,Morty,0.0,119.956,38.707,158.663,False,False
112.0,112.852,0.05,Morty,0.0,77.422,38.707,116.129,False,False
113.0,110.695,0.0,Morty,0.0,20.363,38.707,59.07,False,False
114.0,108.398,0.02,Morty,0.0,-50.63,38.707,-11.923,False,False
115.0,106.059,0.06,Morty,0.0,-133.765,38.707,-95.058,False,False
116.0,103.746,0.02,Morty,0.0,-226.726,38.707,-188.019,False,False
117.0,101.521,0.03,Morty,0.0,-326.249,38.707,-287.542,False,False
118.0,99.446,0.01,Morty,0.0,-428.003,38.707,-389.296,False,False
119.0,97.57,0.04,Morty,0.0,-527.382,38.707,-488.675,False,False
120.0,95.873,0.02,Morty,0.0,-623.354,38.707,-584.647,False,False
121.0,94.228,0.03,Morty,0.0,-721.903,38.707,-683.196,False,False
122.0,92.484,0.04,Morty,0.0,-832.291,38.707,-793.584,False,False
123.0,90.49,0.02,Morty,0.0,-965.925,38.707,-927.219,False,False
124.0,88.125,0.02,Morty,0.0,-1134.748,38.707,-1096.042,False,False
125.0,85.441,0.0,Jerry,-1339.907,-1134.748,38.707,-2435.948,False,False
126.0,82.75,0.0,Jerry,-1560.031,-1134.748,38.707,-2656.073,False,False
127.0,80.424,0.0,Jerry,-1762.06,-1134.748,38.707,-2858.101,False,False
128.0,78.831,0.0,Jerry,-1906.559,-1134.748,38.707,-3002.6,False,False
129.0,78.3,0.0,Jerry,-1955.85,-1134.748,38.707,-3051.891,False,False
130.0,78.897,0.0,Jerry,-1900.446,-1134.748,38.707,-2996.487,False,False
131.0,80.297,0.0,Jerry,-1773.368,-1134.748,38.707,-2869.41,False,False
132.0,82.087,0.0,Jerry,-1616.568,-1134.748,38.707,-2712.609,False,False
133.0,83.854,0.0,Jerry,-1467.982,-1134.748,38.707,-2564.023,False,False
