,,0,1,2
LBGI,adult#001,0.0,0.0,0.0
HBGI,adult#001,5.1432524945748295,8.48631073621992,11.219391186272397
Risk Index,adult#001,5.1432524945748295,8.48631073621992,11.219391186272397
