Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2022-11-04 17:02:11.330162,138.56,143.13353827823587,0.0,0.021125,0.0,1.5109019799034997,1.5109019799034997
2022-11-04 17:05:11.330162,138.56000000000108,142.3293856264225,0.0,0.021125,0.0,1.510901979903625,1.510901979903625
2022-11-04 17:08:11.330162,138.55999999989476,141.70193766559123,0.0,0.021125,0.0,1.510901979892466,1.510901979892466
2022-11-04 17:11:11.330162,138.55999999866643,141.16538117063186,0.0,0.021125,0.0,1.5109019797635588,1.5109019797635588
2022-11-04 17:14:11.330162,138.5599999927699,140.83023544358088,25.0,0.021125,0.0,1.5109019791447786,1.5109019791447786
2022-11-04 17:17:11.330162,138.56001360999468,140.80703312962135,0.0,2.521125,0.0,1.510903408125151,1.510903408125151
2022-11-04 17:20:11.330162,138.5625231270673,141.2081012854614,0.0,0.021125,0.0,1.5111667639623785,1.5111667639623785
2022-11-04 17:23:11.330162,138.5923715431839,142.16031666020538,0.0,0.021125,0.0,1.5143005413696784,1.5143005413696784
2022-11-04 17:26:11.330162,138.72276611911383,143.83012850895258,0.0,0.021125,0.0,1.5280208832127586,1.5280208832127586
2022-11-04 17:29:11.330162,139.07695711579595,146.4016477450552,0.0,0.021125,0.0,1.5655369666912615,1.5655369666912615
2022-11-04 17:32:11.330162,139.81531431934962,149.9024111106519,0.0,0.021125,0.0,1.6448965013794126,1.6448965013794126
2022-11-04 17:35:11.330162,141.11663476214886,154.0867058009139,0.0,0.021125,0.0,1.7884869362275633,1.7884869362275633
2022-11-04 17:38:11.330162,143.13793231770816,158.63584931181714,0.0,0.021125,0.0,2.020654412464061,2.020654412464061
2022-11-04 17:41:11.330162,145.966887679066,163.17764321585014,0.0,0.021125,0.0,2.363401601369392,2.363401601369392
2022-11-04 17:44:11.330162,149.59973950325977,167.30313207759457,0.0,0.021125,0.0,2.83214133652086,2.83214133652086
2022-11-04 17:47:11.330162,153.9379919702307,170.80009202885375,0.0,0.021125,0.0,3.4307752494153987,3.4307752494153987
2022-11-04 17:50:11.330162,158.80329025555733,173.8071590874731,0.0,0.021125,0.0,4.1479496238284685,4.1479496238284685
2022-11-04 17:53:11.330162,163.97129885204086,176.50188326846407,0.0,0.021125,0.0,4.957538647339731,4.957538647339731
2022-11-04 17:56:11.330162,169.21468924737297,179.04403381969738,0.0,0.021125,0.0,5.824021979947429,5.824021979947429
2022-11-04 17:59:11.330162,174.33649638200103,181.6011363557613,0.0,0.021125,0.0,6.709666236796848,6.709666236796848
2022-11-04 18:02:11.330162,179.18550708816372,184.3097801157983,0.0,0.021125,0.0,7.580242356770767,7.580242356770767
2022-11-04 18:05:11.330162,183.65795868630582,187.2455265696686,0.0,0.021125,0.0,8.408220705172901,8.408220705172901
2022-11-04 18:08:11.330162,187.69173218664625,190.5036830852904,0.0,0.021125,0.0,9.173731666380409,9.173731666380409
2022-11-04 18:11:11.330162,191.25777430924865,194.21556797354975,0.0,0.021125,0.0,9.864085488056935,9.864085488056935
2022-11-04 18:14:11.330162,194.35144530202177,198.50866879039864,0.0,0.021125,0.0,10.472591855308462,10.472591855308462
2022-11-04 18:17:11.330162,196.98501288153028,203.34311225589516,0.0,0.021125,0.0,10.997184155826481,10.997184155826481
2022-11-04 18:20:11.330162,199.18166540863803,208.41179924510897,0.0,0.021125,0.0,11.439128084698622,11.439128084698622
2022-11-04 18:23:11.330162,200.97100027939257,213.35324721452315,0.0,0.021125,0.0,11.801936408718275,11.801936408718275
2022-11-04 18:26:11.330162,202.38577330666598,217.81016872745715,0.0,0.021125,0.0,12.090519064195389,12.090519064195389
2022-11-04 18:29:11.330162,203.45965192231841,221.44679193249223,0.0,0.021125,0.0,12.310551350765483,12.310551350765483
2022-11-04 18:32:11.330162,204.22573067589371,224.04659098842106,0.0,0.021125,0.0,12.468024553744696,12.468024553744696
2022-11-04 18:35:11.330162,204.7156053406652,225.57085749260733,0.0,0.021125,0.0,12.568939879900897,12.568939879900897
2022-11-04 18:38:11.330162,204.95884405992297,226.0188012826789,0.0,0.021125,0.0,12.619110124662601,12.619110124662601
2022-11-04 18:41:11.330162,204.98273247051551,225.38742475281165,0.0,0.021125,0.0,12.624039555846204,12.624039555846204
2022-11-04 18:44:11.330162,204.8122018420495,223.69570165720785,0.0,0.021125,0.0,12.588858861150477,12.588858861150477
2022-11-04 18:47:11.330162,204.46987463509976,221.10612769009197,0.0,0.021125,0.0,12.518297680381774,12.518297680381774
2022-11-04 18:50:11.330162,203.97618122230776,217.99774022812102,0.0,0.021125,0.0,12.416681905725236,12.416681905725236
2022-11-04 18:53:11.330162,203.34951588365823,214.7961038932076,0.0,0.021125,0.0,12.287946579267473,12.287946579267473
2022-11-04 18:56:11.330162,202.60641064063842,211.92486249946757,0.0,0.021125,0.0,12.135657973568145,12.135657973568145
2022-11-04 18:59:11.330162,201.76171296365902,209.7667848214094,0.0,0.021125,0.0,11.96304047377559,11.96304047377559
2022-11-04 19:02:11.330162,200.8287586344356,208.4682836395155,,,0.0,11.773005348678595,11.773005348678595
