step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
1.0,156.29189450346783,0.10000000149011612,84.43166028622727,0.0,0.0,0.0,0.0,0.0,0.0,156.29189450346783
2.0,155.5351014226571,0.0,86.3890947903974,0.0,0.0,False,False,False,False,155.5351014226571
3.0,152.1575893739336,0.10000000149011612,94.54269666104335,0.0,0.0,False,False,False,False,152.1575893739336
4.0,147.11841480393312,0.10000000149011612,104.93906495472743,0.0,0.0,False,False,False,False,147.11841480393312
5.0,141.35835983439233,0.10000000149011612,114.22877506251484,0.0,0.0,False,False,False,False,141.35835983439233
6.0,135.80649028306803,0.10000000149011612,120.56387044632413,0.0,0.0,False,False,False,False,135.80649028306803
7.0,131.38431796892684,0.0,123.77063834664534,0.0,0.0,False,False,False,False,131.38431796892684
8.0,129.00845413309497,0.0,124.82000655149716,0.0,0.0,False,False,False,False,129.00845413309497
9.0,129.46845291563196,0.10000000149011612,124.65358496095087,0.0,0.0,False,False,False,False,129.46845291563196
10.0,132.80858480747202,0.0,122.91587308389649,0.0,0.0,False,False,False,False,132.80858480747202
11.0,137.9569730672644,0.10000000149011612,118.41502972409728,0.0,0.0,False,False,False,False,137.9569730672644
12.0,143.59319338079254,0.10000000149011612,110.95300126295524,0.0,0.0,False,False,False,False,143.59319338079254
13.0,148.396323220647,0.0,102.50303340905282,0.0,0.0,False,False,False,False,148.396323220647
14.0,151.16384671272397,0.0,96.76053539283612,0.0,0.0,False,False,False,False,151.16384671272397
15.0,151.4054035377276,0.0,96.22900463984388,0.0,0.0,False,False,False,False,151.4054035377276
16.0,149.69907501285155,0.10000000149011612,99.87945009674081,0.0,0.0,False,False,False,False,149.69907501285155
17.0,146.86038277802817,0.0,105.4144156450227,0.0,0.0,False,False,False,False,146.86038277802817
18.0,143.7048911789405,0.10000000149011612,110.77834722074738,0.0,0.0,False,False,False,False,143.7048911789405
19.0,140.98325979967422,0.0,114.73776538120683,0.0,0.0,False,False,False,False,140.98325979967422
20.0,139.05643223676827,0.10000000149011612,117.16740853507474,0.0,0.0,False,False,False,False,139.05643223676827
21.0,137.7007417474062,0.10000000149011612,118.69130517653605,0.0,0.0,False,False,False,False,137.7007417474062
