step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
1.0,149.43590492942553,0.10000000149011612,100.42085113576502,0.0,0.0,0.0,0.0,0.0,0.0,149.43590492942553
2.0,144.39921103368417,0.0,109.66935103840387,0.0,0.0,False,False,False,False,144.39921103368417
3.0,140.9482720943241,0.10000000149011612,114.78464347908232,0.0,0.0,False,False,False,False,140.9482720943241
4.0,138.72718197114395,0.0,117.5516030026065,0.0,0.0,False,False,False,False,138.72718197114395
5.0,137.52423404576336,0.10000000149011612,118.8784353747618,0.0,0.0,False,False,False,False,137.52423404576336
6.0,137.212878193912,0.0,119.20219489039255,0.0,0.0,False,False,False,False,137.212878193912
7.0,137.71821608908354,0.0,118.67263785208502,0.0,0.0,False,False,False,False,137.71821608908354
8.0,138.99763401621624,0.0,117.23668192689979,0.0,0.0,False,False,False,False,138.99763401621624
9.0,141.01913888337006,0.0,114.68958694672028,0.0,0.0,False,False,False,False,141.01913888337006
10.0,143.70322721973974,0.10000000149011612,110.78095667241121,0.0,0.0,False,False,False,False,143.70322721973974
11.0,146.88782694251043,0.10000000149011612,105.36412145971474,0.0,0.0,False,False,False,False,146.88782694251043
12.0,150.39719362988086,0.0,98.4152758666603,0.0,0.0,False,False,False,False,150.39719362988086
13.0,154.06041195780304,0.0,90.06613403109407,0.0,0.0,False,False,False,False,154.06041195780304
14.0,157.6966864667511,0.0,80.67156064608639,0.0,0.0,False,False,False,False,157.6966864667511
15.0,161.04784979980818,0.10000000149011612,71.03714313125829,0.0,0.0,False,False,False,False,161.04784979980818
16.0,163.73782636209526,0.10000000149011612,62.62595576565923,0.0,0.0,False,False,False,False,163.73782636209526
17.0,165.36542367140714,0.08725437521934509,57.2436452287468,0.0,0.0,False,False,False,False,165.36542367140714
18.0,165.53053877112134,0.10000000149011612,56.68528183087324,0.0,0.0,False,False,False,False,165.53053877112134
19.0,163.8958497669135,0.0,62.11307116386911,0.0,0.0,False,False,False,False,163.8958497669135
20.0,160.49690563413202,0.0,72.68541177298061,0.0,0.0,False,False,False,False,160.49690563413202
21.0,155.92820528007152,0.10000000149011612,85.3782990231872,0.0,0.0,False,False,False,False,155.92820528007152
22.0,150.90869087233932,0.10000000149011612,97.31670491040063,0.0,0.0,False,False,False,False,150.90869087233932
23.0,146.15761679043703,0.0,106.68090577857333,0.0,0.0,False,False,False,False,146.15761679043703
24.0,142.33441729549259,0.0,112.84932397842022,0.0,0.0,False,False,False,False,142.33441729549259
25.0,139.73832816357202,0.10000000149011612,116.34296805495956,0.0,0.0,False,False,False,False,139.73832816357202
26.0,138.12822396253085,0.10000000149011612,118.22732971519861,0.0,0.0,False,False,False,False,138.12822396253085
27.0,137.14307795945285,0.0,119.27366637780278,0.0,0.0,False,False,False,False,137.14307795945285
28.0,136.42202739962886,0.0,119.98820216900788,0.0,0.0,False,False,False,False,136.42202739962886
29.0,135.6213771048968,0.0,120.73081329812476,0.0,0.0,False,False,False,False,135.6213771048968
30.0,134.49995076300198,0.10000000149011612,121.68106441903956,0.0,0.0,False,False,False,False,134.49995076300198
31.0,132.9703590100154,0.0,122.8080858516031,0.0,0.0,False,False,False,False,132.9703590100154
32.0,130.9795846310718,0.0,123.98266791814387,0.0,0.0,False,False,False,False,130.9795846310718
33.0,128.47481515533698,0.10000000149011612,124.99095904104195,0.0,0.0,False,False,False,False,128.47481515533698
34.0,125.42856231940533,0.10000000149011612,125.5120840746597,0.0,0.0,False,False,False,False,125.42856231940533
35.0,121.96433184323857,0.0,125.16421882141367,0.0,0.0,False,False,False,False,121.96433184323857
