step,CGM,Ins,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation,Infos,Action,Total Reward
1.0,129.189,,Rick,0.0,0.0,124.757,,0.0,0.0,,0.13,124.757
2.0,126.831,,Rick,0.0,0.0,125.368,,False,False,,0.0,125.368
3.0,125.868,,Rick,0.0,0.0,125.485,,False,False,,0.13,125.485
4.0,126.056,,Rick,0.0,0.0,125.468,,False,False,,0.07,125.468
5.0,127.168,,Rick,0.0,0.0,125.309,,False,False,,0.04,125.309
6.0,128.989,,Rick,0.0,0.0,124.827,,False,False,,0.06,124.827
7.0,131.312,,Rick,0.0,0.0,123.81,,False,False,,0.13,123.81
8.0,133.937,,Rick,0.0,0.0,122.119,,False,False,,0.12,122.119
9.0,136.662,,Rick,0.0,0.0,119.755,,False,False,,0.11,119.755
10.0,139.265,,Rick,0.0,0.0,116.919,,False,False,,0.09,116.919
11.0,141.489,,Rick,0.0,0.0,114.049,,False,False,,0.02,114.049
12.0,143.068,,Rick,0.0,0.0,111.76,,False,False,,0.09,111.76
13.0,143.74,,Rick,0.0,0.0,110.724,,False,False,,0.03,110.724
14.0,143.282,,Rick,0.0,0.0,111.435,,False,False,,0.05,111.435
15.0,141.718,,Rick,0.0,0.0,113.729,,False,False,,0.01,113.729
16.0,139.441,,Rick,0.0,0.0,116.707,,False,False,,0.15,116.707
17.0,136.923,,Rick,0.0,0.0,119.496,,False,False,,0.02,119.496
18.0,134.64,,Rick,0.0,0.0,121.568,,False,False,,0.02,121.568
19.0,133.032,,Rick,0.0,0.0,122.767,,False,False,,0.1,122.767
20.0,132.328,,Rick,0.0,0.0,123.223,,False,False,,0.05,123.223
21.0,132.443,,Rick,0.0,0.0,123.151,,False,False,,0.01,123.151
22.0,133.219,,Rick,0.0,0.0,122.638,,False,False,,0.04,122.638
23.0,134.501,,Rick,0.0,0.0,121.681,,False,False,,0.02,121.681
24.0,136.131,,Rick,0.0,0.0,120.265,,False,False,,0.04,120.265
25.0,137.941,,Rick,0.0,0.0,118.432,,False,False,,0.12,118.432
26.0,139.748,,Rick,0.0,0.0,116.331,,False,False,,0.09,116.331
27.0,141.365,,Rick,0.0,0.0,114.22,,False,False,,0.03,114.22
28.0,142.603,,Rick,0.0,0.0,112.455,,False,False,,0.06,112.455
29.0,143.291,,Rick,0.0,0.0,111.42,,False,False,,0.04,111.42
30.0,143.338,,Rick,0.0,0.0,111.347,,False,False,,0.02,111.347
31.0,142.783,,Rick,0.0,0.0,112.189,,False,False,,0.08,112.189
32.0,141.688,,Rick,0.0,0.0,113.772,,False,False,,0.08,113.772
33.0,140.119,,Rick,0.0,0.0,115.865,,False,False,,0.03,115.865
34.0,138.144,,Rick,0.0,0.0,118.21,,False,False,,0.12,118.21
35.0,135.836,,Rick,0.0,0.0,120.537,,False,False,,0.08,120.537
36.0,133.285,,Rick,0.0,0.0,122.592,,False,False,,0.13,122.592
37.0,130.584,,Rick,0.0,0.0,124.177,,False,False,,0.11,124.177
38.0,127.822,,Rick,0.0,0.0,125.168,,False,False,,0.14,125.168
39.0,125.088,,Rick,0.0,0.0,125.522,,False,False,,0.07,125.522
40.0,122.439,,Rick,0.0,0.0,125.271,,False,False,,0.05,125.271
41.0,119.889,,Rick,0.0,0.0,124.476,,False,False,,0.09,124.476
42.0,117.444,,Morty,0.0,123.205,124.476,,False,False,,0.09,247.681
43.0,115.108,,Morty,0.0,121.525,124.476,,False,False,,0.02,246.002
44.0,112.888,,Morty,0.0,119.506,124.476,,False,False,,0.07,243.983
45.0,110.788,,Morty,0.0,117.218,124.476,,False,False,,0.01,241.695
46.0,108.813,,Morty,0.0,114.732,124.476,,False,False,,0.01,239.208
47.0,106.97,,Morty,0.0,112.117,124.476,,False,False,,0.03,236.593
48.0,105.264,,Morty,0.0,109.445,124.476,,False,False,,0.07,233.921
49.0,105.987,,Morty,0.0,110.607,124.476,,False,False,,0.03,235.083
