step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,128.819,0.04,Rick,0.0,0.0,210.415,210.415,0.0,0.0
2.0,127.157,0.0,Rick,0.0,0.0,220.347,220.347,False,False
3.0,127.062,0.02,Rick,0.0,0.0,220.748,220.748,False,False
4.0,128.049,0.07,Rick,0.0,0.0,215.701,215.701,False,False
5.0,129.596,0.04,Rick,0.0,0.0,203.875,203.875,False,False
6.0,131.156,0.06,Rick,0.0,0.0,187.098,187.098,False,False
7.0,132.172,0.08,Rick,0.0,0.0,173.563,173.563,False,False
8.0,132.078,0.0,Rick,0.0,0.0,174.908,174.908,False,False
9.0,130.377,0.06,Rick,0.0,0.0,196.084,196.084,False,False
10.0,127.008,0.08,Rick,0.0,0.0,220.967,220.967,False,False
11.0,122.558,0.02,Rick,0.0,0.0,219.036,219.036,False,False
12.0,117.76,0.02,Rick,0.0,0.0,172.579,172.579,False,False
13.0,113.347,0.03,Morty,0.0,89.216,172.579,261.795,False,False
14.0,110.003,0.05,Morty,0.0,0.075,172.579,172.654,False,False
15.0,108.09,0.01,Morty,0.0,-60.935,172.579,111.644,False,False
16.0,107.501,0.03,Morty,0.0,-81.21,172.579,91.369,False,False
17.0,108.02,0.02,Morty,0.0,-63.33,172.579,109.249,False,False
18.0,109.432,0.02,Morty,0.0,-17.372,172.579,155.207,False,False
19.0,111.514,0.01,Morty,0.0,43.139,172.579,215.718,False,False
20.0,113.993,0.05,Morty,0.0,103.845,172.579,276.424,False,False
21.0,116.514,0.01,Morty,0.0,152.986,172.579,325.565,False,False
22.0,118.707,0.04,Morty,0.0,185.392,172.579,357.971,False,False
23.0,120.2,0.02,Morty,0.0,201.965,172.579,374.544,False,False
24.0,120.678,0.04,Rick,0.0,201.965,206.323,408.287,False,False
25.0,120.14,0.08,Rick,0.0,201.965,201.378,403.343,False,False
26.0,119.06,0.08,Rick,0.0,201.965,189.721,391.686,False,False
27.0,118.021,0.03,Morty,0.0,176.298,189.721,366.019,False,False
28.0,117.604,0.06,Morty,0.0,170.294,189.721,360.015,False,False
29.0,118.324,0.04,Morty,0.0,180.436,189.721,370.157,False,False
30.0,120.314,0.02,Morty,0.0,203.04,189.721,392.761,False,False
31.0,123.123,0.02,Rick,0.0,203.04,221.477,424.517,False,False
32.0,126.174,0.08,Rick,0.0,203.04,223.621,426.661,False,False
33.0,128.889,0.03,Rick,0.0,203.04,209.872,412.912,False,False
34.0,130.751,0.0,Rick,0.0,203.04,191.929,394.969,False,False
35.0,131.598,0.08,Rick,0.0,203.04,181.469,384.508,False,False
36.0,131.808,0.0,Rick,0.0,203.04,178.657,381.697,False,False
37.0,131.876,0.05,Rick,0.0,203.04,177.719,380.758,False,False
38.0,132.3,0.03,Rick,0.0,203.04,171.714,374.754,False,False
39.0,133.525,0.07,Rick,0.0,203.04,152.316,355.356,False,False
40.0,135.706,0.05,Rick,0.0,203.04,110.385,313.425,False,False
41.0,138.551,0.02,Rick,0.0,203.04,41.366,244.405,False,False
42.0,141.674,0.08,Rick,0.0,203.04,-53.012,150.027,False,False
43.0,144.686,0.02,Rick,0.0,203.04,-162.523,40.517,False,False
44.0,147.199,0.07,Rick,0.0,203.04,-267.796,-64.757,False,False
45.0,148.826,0.01,Rick,0.0,203.04,-342.685,-139.646,False,False
46.0,149.179,0.01,Rick,0.0,203.04,-359.631,-156.591,False,False
47.0,147.87,0.03,Rick,0.0,203.04,-298.045,-95.005,False,False
48.0,144.511,0.07,Rick,0.0,203.04,-155.696,47.344,False,False
49.0,140.074,0.03,Rick,0.0,203.04,-2.213,200.827,False,False
50.0,137.06,0.08,Rick,0.0,203.04,79.566,282.606,False,False
51.0,135.464,0.03,Rick,0.0,203.04,115.497,318.537,False,False
52.0,135.006,0.02,Rick,0.0,203.04,124.885,327.925,False,False
53.0,135.402,0.01,Rick,0.0,203.04,116.807,319.847,False,False
54.0,136.37,0.03,Rick,0.0,203.04,95.73,298.77,False,False
55.0,137.628,0.08,Rick,0.0,203.04,65.533,268.573,False,False
56.0,138.894,0.06,Rick,0.0,203.04,31.946,234.986,False,False
57.0,139.887,0.05,Rick,0.0,203.04,3.385,206.424,False,False
58.0,140.323,0.05,Rick,0.0,203.04,-9.796,193.244,False,False
59.0,139.961,0.06,Rick,0.0,203.04,1.163,204.203,False,False
60.0,138.799,0.03,Rick,0.0,203.04,34.597,237.637,False,False
61.0,137.193,0.05,Rick,0.0,203.04,76.341,279.381,False,False
62.0,135.58,0.02,Rick,0.0,203.04,113.067,316.106,False,False
63.0,134.397,0.02,Rick,0.0,203.04,136.689,339.728,False,False
64.0,134.036,0.08,Rick,0.0,203.04,143.352,346.392,False,False
65.0,134.608,0.01,Rick,0.0,203.04,132.677,335.717,False,False
66.0,135.812,0.0,Rick,0.0,203.04,108.102,311.142,False,False
67.0,137.251,0.01,Rick,0.0,203.04,74.922,277.962,False,False
68.0,138.529,0.02,Rick,0.0,203.04,41.968,245.007,False,False
69.0,139.284,0.08,Rick,0.0,203.04,20.973,224.012,False,False
70.0,139.347,0.05,Rick,0.0,203.04,19.156,222.196,False,False
71.0,138.844,0.02,Rick,0.0,203.04,33.348,236.388,False,False
72.0,137.963,0.03,Rick,0.0,203.04,56.955,259.995,False,False
73.0,136.895,0.03,Rick,0.0,203.04,83.509,286.549,False,False
74.0,135.827,0.07,Rick,0.0,203.04,107.769,310.809,False,False
75.0,134.939,0.07,Rick,0.0,203.04,126.207,329.247,False,False
76.0,134.397,0.07,Rick,0.0,203.04,136.692,339.732,False,False
77.0,134.364,0.05,Rick,0.0,203.04,137.324,340.364,False,False
78.0,135.001,0.01,Rick,0.0,203.04,124.976,328.016,False,False
79.0,136.447,0.03,Rick,0.0,203.04,93.973,297.013,False,False
80.0,138.679,0.06,Rick,0.0,203.04,37.892,240.932,False,False
81.0,141.44,0.01,Rick,0.0,203.04,-45.259,157.78,False,False
82.0,144.419,0.07,Rick,0.0,203.04,-152.09,50.949,False,False
83.0,147.306,0.02,Rick,0.0,203.04,-272.563,-69.523,False,False
84.0,149.803,0.02,Rick,0.0,203.04,-390.175,-187.136,False,False
85.0,151.68,0.08,Rick,0.0,203.04,-486.81,-283.77,False,False
86.0,152.813,0.01,Rick,0.0,203.04,-548.563,-345.524,False,False
87.0,153.102,0.04,Rick,0.0,203.04,-564.696,-361.656,False,False
88.0,152.444,0.08,Rick,0.0,203.04,-528.196,-325.157,False,False
89.0,150.768,0.06,Rick,0.0,203.04,-438.986,-235.946,False,False
90.0,148.161,0.05,Rick,0.0,203.04,-311.435,-108.395,False,False
91.0,144.957,0.07,Rick,0.0,203.04,-173.286,29.753,False,False
92.0,141.544,0.03,Rick,0.0,203.04,-48.691,154.349,False,False
93.0,138.308,0.07,Rick,0.0,203.04,47.898,250.938,False,False
94.0,135.638,0.01,Rick,0.0,203.04,111.84,314.88,False,False
95.0,133.92,0.04,Rick,0.0,203.04,145.433,348.473,False,False
96.0,133.543,0.03,Rick,0.0,203.04,152.025,355.065,False,False
97.0,134.892,0.08,Rick,0.0,203.04,127.139,330.179,False,False
98.0,138.357,0.01,Rick,0.0,203.04,46.584,249.624,False,False
99.0,138.205,0.07,Rick,0.0,203.04,50.616,253.656,False,False
100.0,129.25,0.02,Rick,0.0,203.04,206.939,409.979,False,False
101.0,124.774,0.06,Rick,0.0,203.04,224.949,427.988,False,False
102.0,123.874,0.04,Rick,0.0,203.04,223.732,426.772,False,False
103.0,125.648,0.08,Rick,0.0,203.04,224.58,427.62,False,False
104.0,129.192,0.01,Rick,0.0,203.04,207.424,410.464,False,False
105.0,133.605,0.07,Rick,0.0,203.04,150.956,353.996,False,False
106.0,137.982,0.05,Rick,0.0,203.04,56.459,259.499,False,False
107.0,141.422,0.05,Rick,0.0,203.04,-44.679,158.36,False,False
108.0,143.021,0.01,Rick,0.0,203.04,-99.746,103.294,False,False
109.0,141.988,0.02,Rick,0.0,203.04,-63.594,139.445,False,False
110.0,138.207,0.05,Rick,0.0,203.04,50.581,253.621,False,False
111.0,132.57,0.03,Rick,0.0,203.04,167.698,370.738,False,False
112.0,126.195,0.05,Rick,0.0,203.04,223.573,426.612,False,False
113.0,120.199,0.08,Rick,0.0,203.04,201.949,404.989,False,False
