step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,155.156,0.04,Morty,0.0,-684.354,0.0,-684.354,0.0,0.0
2.0,153.211,0.0,Morty,0.0,-570.865,0.0,-570.865,False,False
3.0,150.814,0.02,Morty,0.0,-441.362,0.0,-441.362,False,False
4.0,148.219,0.07,Morty,0.0,-314.121,0.0,-314.121,False,False
5.0,145.669,0.04,Morty,0.0,-202.206,0.0,-202.206,False,False
6.0,143.404,0.06,Morty,0.0,-113.691,0.0,-113.691,False,False
7.0,141.664,0.08,Morty,0.0,-52.681,0.0,-52.681,False,False
8.0,140.694,0.1,Morty,0.0,-21.303,0.0,-21.303,False,False
9.0,140.698,0.06,Morty,0.0,-21.424,0.0,-21.424,False,False
10.0,141.611,0.09,Morty,0.0,-50.922,0.0,-50.922,False,False
11.0,142.964,0.02,Morty,0.0,-97.719,0.0,-97.719,False,False
12.0,144.203,0.09,Morty,0.0,-143.739,0.0,-143.739,False,False
13.0,144.773,0.03,Morty,0.0,-165.966,0.0,-165.966,False,False
14.0,144.186,0.05,Morty,0.0,-143.106,0.0,-143.106,False,False
15.0,142.32,0.01,Morty,0.0,-74.984,0.0,-74.984,False,False
16.0,139.601,0.03,Morty,0.0,11.8,0.0,11.8,False,False
17.0,136.58,0.02,Morty,0.0,90.907,0.0,90.907,False,False
18.0,133.807,0.02,Morty,0.0,147.444,0.0,147.444,False,False
19.0,131.778,0.1,Morty,0.0,179.064,0.0,179.064,False,False
20.0,130.653,0.05,Morty,0.0,193.049,0.0,193.049,False,False
21.0,130.086,0.01,Morty,0.0,199.134,0.0,199.134,False,False
22.0,129.62,0.04,Morty,0.0,203.651,0.0,203.651,False,False
23.0,128.799,0.02,Morty,0.0,210.564,0.0,210.564,False,False
24.0,127.227,0.04,Morty,0.0,220.041,0.0,220.041,False,False
25.0,124.871,0.08,Morty,0.0,224.983,0.0,224.983,False,False
26.0,122.245,0.09,Morty,0.0,217.41,0.0,217.41,False,False
27.0,119.984,0.03,Morty,0.0,199.837,0.0,199.837,False,False
28.0,118.722,0.06,Morty,0.0,185.59,0.0,185.59,False,False
29.0,119.012,0.04,Morty,0.0,189.147,0.0,189.147,False,False
30.0,120.905,0.02,Morty,0.0,208.228,0.0,208.228,False,False
31.0,123.699,0.08,Morty,0.0,223.307,0.0,223.307,False,False
32.0,126.528,0.08,Morty,0.0,222.666,0.0,222.666,False,False
33.0,128.525,0.03,Morty,0.0,212.578,0.0,212.578,False,False
34.0,128.913,0.0,Morty,0.0,209.685,0.0,209.685,False,False
35.0,127.471,0.08,Morty,0.0,218.897,0.0,218.897,False,False
36.0,124.798,0.0,Morty,0.0,224.959,0.0,224.959,False,False
37.0,121.682,0.05,Morty,0.0,213.988,0.0,213.988,False,False
38.0,118.908,0.03,Morty,0.0,187.884,0.0,187.884,False,False
39.0,117.203,0.07,Morty,0.0,164.201,0.0,164.201,False,False
40.0,116.935,0.05,Morty,0.0,159.959,0.0,159.959,False,False
41.0,117.938,0.09,Morty,0.0,175.121,0.0,175.121,False,False
42.0,119.922,0.09,Morty,0.0,199.219,0.0,199.219,False,False
43.0,122.603,0.02,Morty,0.0,219.255,0.0,219.255,False,False
44.0,125.692,0.07,Morty,0.0,224.521,0.0,224.521,False,False
45.0,128.903,0.1,Morty,0.0,209.77,0.0,209.77,False,False
46.0,131.947,0.01,Morty,0.0,176.738,0.0,176.738,False,False
47.0,134.539,0.03,Morty,0.0,134.014,0.0,134.014,False,False
48.0,136.39,0.07,Morty,0.0,95.27,0.0,95.27,False,False
49.0,138.786,0.1,Morty,0.0,34.935,0.0,34.935,False,False
50.0,142.855,0.08,Morty,0.0,-93.792,0.0,-93.792,False,False
51.0,145.041,0.03,Morty,0.0,-176.651,0.0,-176.651,False,False
52.0,145.649,0.02,Morty,0.0,-201.397,0.0,-201.397,False,False
53.0,144.983,0.1,Morty,0.0,-174.309,0.0,-174.309,False,False
54.0,143.345,0.03,Morty,0.0,-111.531,0.0,-111.531,False,False
55.0,141.039,0.08,Morty,0.0,-32.251,0.0,-32.251,False,False
56.0,138.369,0.1,Morty,0.0,46.266,0.0,46.266,False,False
57.0,135.639,0.05,Morty,0.0,111.821,0.0,111.821,False,False
58.0,133.151,0.05,Morty,0.0,158.562,0.0,158.562,False,False
59.0,131.19,0.06,Morty,0.0,186.681,0.0,186.681,False,False
60.0,129.923,0.03,Morty,0.0,200.767,0.0,200.767,False,False
61.0,129.338,0.05,Morty,0.0,206.181,0.0,206.181,False,False
62.0,129.387,0.09,Morty,0.0,205.756,0.0,205.756,False,False
63.0,130.02,0.02,Morty,0.0,199.803,0.0,199.803,False,False
64.0,131.172,0.08,Morty,0.0,186.902,0.0,186.902,False,False
65.0,132.693,0.09,Morty,0.0,165.812,0.0,165.812,False,False
66.0,134.299,0.0,Morty,0.0,138.521,0.0,138.521,False,False
67.0,135.678,0.01,Morty,0.0,110.978,0.0,110.978,False,False
68.0,136.517,0.1,Morty,0.0,92.359,0.0,92.359,False,False
69.0,136.548,0.08,Morty,0.0,91.633,0.0,91.633,False,False
70.0,135.774,0.05,Morty,0.0,108.919,0.0,108.919,False,False
71.0,134.599,0.1,Morty,0.0,132.864,0.0,132.864,False,False
72.0,133.517,0.03,Morty,0.0,152.458,0.0,152.458,False,False
73.0,133.024,0.03,Morty,0.0,160.616,0.0,160.616,False,False
74.0,133.551,0.07,Morty,0.0,151.876,0.0,151.876,False,False
75.0,135.156,0.07,Morty,0.0,121.854,0.0,121.854,False,False
76.0,137.333,0.07,Morty,0.0,72.898,0.0,72.898,False,False
77.0,139.451,0.05,Morty,0.0,16.157,0.0,16.157,False,False
78.0,140.881,0.01,Morty,0.0,-27.203,0.0,-27.203,False,False
79.0,141.057,0.1,Morty,0.0,-32.835,0.0,-32.835,False,False
80.0,139.814,0.06,Morty,0.0,5.533,0.0,5.533,False,False
81.0,137.583,0.01,Morty,0.0,66.658,0.0,66.658,False,False
82.0,134.928,0.07,Morty,0.0,126.437,0.0,126.437,False,False
83.0,132.412,0.02,Morty,0.0,170.067,0.0,170.067,False,False
84.0,130.535,0.02,Morty,0.0,194.361,0.0,194.361,False,False
85.0,129.42,0.08,Morty,0.0,205.463,0.0,205.463,False,False
86.0,128.619,0.1,Morty,0.0,211.904,0.0,211.904,False,False
87.0,127.558,0.04,Morty,0.0,218.456,0.0,218.456,False,False
88.0,125.664,0.08,Morty,0.0,224.559,0.0,224.559,False,False
89.0,122.435,0.06,Morty,0.0,218.42,0.0,218.42,False,False
90.0,117.791,0.05,Morty,0.0,173.024,0.0,173.024,False,False
91.0,112.29,0.07,Morty,0.0,63.447,0.0,63.447,False,False
92.0,106.631,0.03,Morty,0.0,-112.416,0.0,-112.416,False,False
93.0,101.514,0.07,Morty,0.0,-326.584,0.0,-326.584,False,False
94.0,97.638,0.01,Morty,0.0,-523.685,0.0,-523.685,False,False
95.0,95.701,0.04,Morty,0.0,-633.411,0.0,-633.411,False,False
96.0,96.404,0.03,Morty,0.0,-592.751,0.0,-592.751,False,False
97.0,100.444,0.08,Morty,0.0,-378.001,0.0,-378.001,False,False
98.0,108.521,0.01,Morty,0.0,-46.549,0.0,-46.549,False,False
99.0,115.725,0.09,Morty,0.0,138.981,0.0,138.981,False,False
100.0,115.096,0.02,Morty,0.0,126.902,0.0,126.902,False,False
101.0,114.225,0.09,Morty,0.0,108.908,0.0,108.908,False,False
102.0,113.142,0.04,Morty,0.0,84.382,0.0,84.382,False,False
103.0,111.871,0.08,Morty,0.0,52.642,0.0,52.642,False,False
104.0,110.441,0.09,Morty,0.0,13.046,0.0,13.046,False,False
105.0,108.878,0.07,Morty,0.0,-34.914,0.0,-34.914,False,False
106.0,107.209,0.05,Morty,0.0,-91.531,0.0,-91.531,False,False
107.0,105.46,0.05,Morty,0.0,-156.829,0.0,-156.829,False,False
108.0,103.657,0.1,Morty,0.0,-230.505,0.0,-230.505,False,False
109.0,101.822,0.02,Morty,0.0,-312.198,0.0,-312.198,False,False
110.0,99.936,0.05,Morty,0.0,-403.195,0.0,-403.195,False,False
111.0,97.922,0.03,Morty,0.0,-508.201,0.0,-508.201,False,False
112.0,95.692,0.09,Morty,0.0,-633.981,0.0,-633.981,False,False
113.0,93.155,0.08,Morty,0.0,-789.107,0.0,-789.107,False,False
114.0,90.255,0.02,Morty,0.0,-982.185,0.0,-982.185,False,False
115.0,87.13,0.06,Morty,0.0,-1209.131,0.0,-1209.131,False,False
116.0,84.207,0.02,Jerry,-1439.098,-1209.131,0.0,-2648.229,False,False
117.0,81.978,0.0,Jerry,-1625.93,-1209.131,0.0,-2835.062,False,False
118.0,80.935,0.0,Jerry,-1716.703,-1209.131,0.0,-2925.834,False,False
