step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,140.762,0.13,Rick,0.0,0.0,115.033,,0.0,0.0,0.0,0.0,0.0,0.0,,115.033
2.0,142.94,0.0,Rick,0.0,0.0,111.954,,False,False,False,False,False,False,,111.954
3.0,145.515,0.13,Rick,0.0,0.0,107.804,,False,False,False,False,False,False,,107.804
4.0,148.106,0.07,Rick,0.0,0.0,103.069,,False,False,False,False,False,False,,103.069
5.0,150.494,0.04,Rick,0.0,0.0,98.209,,False,False,False,False,False,False,,98.209
6.0,152.516,0.06,Rick,0.0,0.0,93.722,,False,False,False,False,False,False,,93.722
7.0,154.023,0.13,Rick,0.0,0.0,90.158,,False,False,False,False,False,False,,90.158
8.0,154.864,0.12,Rick,0.0,0.0,88.086,,False,False,False,False,False,False,,88.086
9.0,154.908,0.11,Rick,0.0,0.0,87.976,,False,False,False,False,False,False,,87.976
10.0,154.15,0.09,Rick,0.0,0.0,89.848,,False,False,False,False,False,False,,89.848
11.0,152.779,0.02,Rick,0.0,0.0,93.114,,False,False,False,False,False,False,,93.114
12.0,151.023,0.09,Rick,0.0,0.0,97.069,,False,False,False,False,False,False,,97.069
13.0,149.106,0.03,Rick,0.0,0.0,101.091,,False,False,False,False,False,False,,101.091
14.0,147.244,0.05,Rick,0.0,0.0,104.706,,False,False,False,False,False,False,,104.706
15.0,145.592,0.01,Rick,0.0,0.0,107.67,,False,False,False,False,False,False,,107.67
16.0,144.222,0.15,Rick,0.0,0.0,109.956,,False,False,False,False,False,False,,109.956
17.0,143.186,0.02,Rick,0.0,0.0,111.58,,False,False,False,False,False,False,,111.58
18.0,142.538,0.02,Rick,0.0,0.0,112.552,,False,False,False,False,False,False,,112.552
19.0,142.316,0.1,Rick,0.0,0.0,112.876,,False,False,False,False,False,False,,112.876
20.0,142.481,0.05,Rick,0.0,0.0,112.635,,False,False,False,False,False,False,,112.635
21.0,142.875,0.01,Rick,0.0,0.0,112.051,,False,False,False,False,False,False,,112.051
22.0,143.312,0.04,Rick,0.0,0.0,111.388,,False,False,False,False,False,False,,111.388
23.0,143.608,0.02,Rick,0.0,0.0,110.929,,False,False,False,False,False,False,,110.929
24.0,143.595,0.04,Rick,0.0,0.0,110.95,,False,False,False,False,False,False,,110.95
25.0,143.194,0.12,Rick,0.0,0.0,111.568,,False,False,False,False,False,False,,111.568
26.0,142.467,0.09,Rick,0.0,0.0,112.656,,False,False,False,False,False,False,,112.656
27.0,141.502,0.03,Rick,0.0,0.0,114.031,,False,False,False,False,False,False,,114.031
28.0,140.39,0.06,Rick,0.0,0.0,115.519,,False,False,False,False,False,False,,115.519
29.0,139.21,0.04,Rick,0.0,0.0,116.985,,False,False,False,False,False,False,,116.985
30.0,137.976,0.02,Rick,0.0,0.0,118.395,,False,False,False,False,False,False,,118.395
31.0,136.604,0.08,Rick,0.0,0.0,119.812,,False,False,False,False,False,False,,119.812
32.0,134.992,0.08,Rick,0.0,0.0,121.277,,False,False,False,False,False,False,,121.277
