step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,192.007,0.04,Rick,0.0,0.0,-4264.908,-4264.908,0.0,0.0
2.0,192.318,0.0,Rick,0.0,0.0,-4306.761,-4306.761,False,False
3.0,190.421,0.02,Rick,0.0,0.0,-4054.965,-4054.965,False,False
4.0,186.707,0.07,Rick,0.0,0.0,-3582.774,-3582.774,False,False
5.0,181.616,0.04,Rick,0.0,0.0,-2980.327,-2980.327,False,False
6.0,175.62,0.06,Rick,0.0,0.0,-2337.344,-2337.344,False,False
7.0,169.214,0.08,Rick,0.0,0.0,-1729.878,-1729.878,False,False
8.0,162.909,0.1,Rick,0.0,0.0,-1212.067,-1212.067,False,False
9.0,157.197,0.06,Rick,0.0,0.0,-811.644,-811.644,False,False
10.0,152.419,0.09,Rick,0.0,0.0,-526.794,-526.794,False,False
11.0,148.679,0.02,Rick,0.0,0.0,-335.679,-335.679,False,False
12.0,146.031,0.09,Rick,0.0,0.0,-217.285,-217.285,False,False
13.0,144.531,0.03,Rick,0.0,0.0,-156.471,-156.471,False,False
14.0,144.207,0.05,Rick,0.0,0.0,-143.925,-143.925,False,False
15.0,144.895,0.01,Rick,0.0,0.0,-170.816,-170.816,False,False
16.0,146.144,0.03,Rick,0.0,0.0,-222.074,-222.074,False,False
17.0,147.441,0.02,Rick,0.0,0.0,-278.594,-278.594,False,False
18.0,148.273,0.02,Rick,0.0,0.0,-316.617,-316.617,False,False
19.0,148.183,0.1,Rick,0.0,0.0,-312.432,-312.432,False,False
20.0,147.047,0.05,Rick,0.0,0.0,-261.056,-261.056,False,False
21.0,145.24,0.01,Rick,0.0,0.0,-184.657,-184.657,False,False
22.0,143.249,0.04,Rick,0.0,0.0,-108.015,-108.015,False,False
23.0,141.559,0.02,Rick,0.0,0.0,-49.206,-49.206,False,False
24.0,140.608,0.04,Rick,0.0,0.0,-18.608,-18.608,False,False
25.0,140.532,0.08,Rick,0.0,0.0,-16.23,-16.23,False,False
26.0,141.017,0.09,Rick,0.0,0.0,-31.532,-31.532,False,False
27.0,141.65,0.03,Rick,0.0,0.0,-52.209,-52.209,False,False
28.0,142.017,0.06,Rick,0.0,0.0,-64.586,-64.586,False,False
29.0,141.748,0.04,Rick,0.0,0.0,-55.482,-55.482,False,False
30.0,140.717,0.02,Rick,0.0,0.0,-22.032,-22.032,False,False
31.0,139.175,0.08,Rick,0.0,0.0,24.056,24.056,False,False
32.0,137.454,0.08,Morty,0.0,69.891,24.056,93.948,False,False
33.0,135.886,0.03,Morty,0.0,106.5,24.056,130.556,False,False
34.0,134.773,0.0,Morty,0.0,129.493,24.056,153.549,False,False
35.0,134.242,0.05,Morty,0.0,139.59,24.056,163.647,False,False
36.0,134.155,0.0,Morty,0.0,141.191,24.056,165.248,False,False
37.0,134.315,0.05,Morty,0.0,138.229,24.056,162.285,False,False
38.0,134.526,0.03,Morty,0.0,134.249,24.056,158.305,False,False
39.0,134.604,0.03,Morty,0.0,132.754,24.056,156.81,False,False
40.0,134.441,0.05,Morty,0.0,135.867,24.056,159.924,False,False
41.0,134.04,0.02,Morty,0.0,143.271,24.056,167.328,False,False
42.0,133.432,0.04,Morty,0.0,153.896,24.056,177.952,False,False
43.0,132.647,0.02,Morty,0.0,166.531,24.056,190.587,False,False
44.0,131.713,0.04,Morty,0.0,179.94,24.056,203.996,False,False
45.0,130.661,0.01,Morty,0.0,192.957,24.056,217.014,False,False
46.0,129.52,0.01,Morty,0.0,204.568,24.056,228.624,False,False
47.0,128.321,0.03,Morty,0.0,213.969,24.056,238.026,False,False
48.0,127.094,0.02,Morty,0.0,220.617,24.056,244.673,False,False
49.0,126.474,0.03,Morty,0.0,222.827,24.056,246.883,False,False
50.0,126.945,0.05,Morty,0.0,221.215,24.056,245.272,False,False
51.0,127.051,0.03,Morty,0.0,220.792,24.056,244.848,False,False
52.0,126.936,0.02,Morty,0.0,221.251,24.056,245.307,False,False
53.0,126.744,0.01,Morty,0.0,221.959,24.056,246.016,False,False
54.0,126.618,0.03,Morty,0.0,222.382,24.056,246.438,False,False
55.0,126.703,0.03,Morty,0.0,222.101,24.056,246.157,False,False
56.0,127.142,0.02,Morty,0.0,220.412,24.056,244.468,False,False
57.0,128.08,0.05,Morty,0.0,215.516,24.056,239.572,False,False
58.0,129.66,0.05,Morty,0.0,203.289,24.056,227.345,False,False
59.0,131.989,0.04,Morty,0.0,176.153,24.056,200.21,False,False
60.0,134.956,0.03,Morty,0.0,125.876,24.056,149.933,False,False
61.0,138.12,0.05,Morty,0.0,52.876,24.056,76.932,False,False
62.0,140.965,0.02,Morty,0.0,-29.892,24.056,-5.835,False,False
63.0,142.979,0.02,Rick,0.0,-29.892,-98.242,-128.133,False,False
64.0,143.697,0.08,Rick,0.0,-29.892,-124.562,-154.454,False,False
65.0,142.958,0.09,Rick,0.0,-29.892,-97.474,-127.365,False,False
66.0,141.056,0.0,Rick,0.0,-29.892,-32.789,-62.681,False,False
67.0,138.386,0.01,Rick,0.0,-29.892,45.807,15.915,False,False
68.0,135.344,0.1,Morty,0.0,118.002,45.807,163.809,False,False
69.0,132.306,0.0,Morty,0.0,171.619,45.807,217.426,False,False
70.0,129.546,0.05,Morty,0.0,204.334,45.807,250.14,False,False
71.0,127.18,0.02,Morty,0.0,220.249,45.807,266.055,False,False
72.0,125.289,0.03,Morty,0.0,224.917,45.807,270.723,False,False
73.0,123.955,0.03,Morty,0.0,223.908,45.807,269.715,False,False
74.0,123.245,0.03,Morty,0.0,221.919,45.807,267.726,False,False
75.0,123.136,0.02,Morty,0.0,221.525,45.807,267.331,False,False
76.0,123.472,0.02,Morty,0.0,222.666,45.807,268.472,False,False
77.0,124.069,0.05,Morty,0.0,224.133,45.807,269.939,False,False
78.0,124.74,0.01,Morty,0.0,224.932,45.807,270.739,False,False
79.0,125.311,0.03,Morty,0.0,224.903,45.807,270.71,False,False
80.0,125.678,0.03,Morty,0.0,224.54,45.807,270.347,False,False
81.0,125.837,0.01,Morty,0.0,224.299,45.807,270.106,False,False
82.0,125.809,0.02,Morty,0.0,224.346,45.807,270.152,False,False
