step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,150.625,0.04,Rick,0.0,0.0,-431.624,-431.624,0.0,0.0
2.0,148.509,0.0,Rick,0.0,0.0,-327.679,-327.679,False,False
3.0,146.653,0.02,Rick,0.0,0.0,-243.848,-243.848,False,False
4.0,145.027,0.07,Rick,0.0,0.0,-176.064,-176.064,False,False
5.0,143.632,0.04,Rick,0.0,0.0,-122.161,-122.161,False,False
6.0,142.492,0.06,Rick,0.0,0.0,-80.987,-80.987,False,False
7.0,141.643,0.0,Rick,0.0,0.0,-51.994,-51.994,False,False
8.0,141.129,0.0,Rick,0.0,0.0,-35.14,-35.14,False,False
9.0,140.992,0.06,Rick,0.0,0.0,-30.748,-30.748,False,False
10.0,141.232,0.07,Rick,0.0,0.0,-38.466,-38.466,False,False
11.0,141.777,0.02,Rick,0.0,0.0,-56.477,-56.477,False,False
12.0,142.545,0.02,Rick,0.0,0.0,-82.82,-82.82,False,False
13.0,143.451,0.03,Rick,0.0,0.0,-115.445,-115.445,False,False
14.0,144.414,0.05,Rick,0.0,0.0,-151.895,-151.895,False,False
15.0,145.349,0.01,Rick,0.0,0.0,-189.095,-189.095,False,False
16.0,146.172,0.03,Rick,0.0,0.0,-223.272,-223.272,False,False
17.0,146.798,0.02,Rick,0.0,0.0,-250.139,-250.139,False,False
18.0,147.14,0.02,Rick,0.0,0.0,-265.171,-265.171,False,False
19.0,147.12,0.01,Rick,0.0,0.0,-264.279,-264.279,False,False
20.0,146.693,0.05,Rick,0.0,0.0,-245.606,-245.606,False,False
21.0,145.871,0.01,Rick,0.0,0.0,-210.584,-210.584,False,False
22.0,144.673,0.04,Rick,0.0,0.0,-162.008,-162.008,False,False
23.0,143.12,0.02,Rick,0.0,0.0,-103.348,-103.348,False,False
24.0,141.254,0.04,Rick,0.0,0.0,-39.19,-39.19,False,False
25.0,139.222,0.04,Rick,0.0,0.0,22.724,22.724,False,False
26.0,137.339,0.06,Rick,0.0,0.0,72.744,72.744,False,False
27.0,135.954,0.03,Rick,0.0,0.0,105.002,105.002,False,False
28.0,135.418,0.06,Rick,0.0,0.0,116.468,116.468,False,False
29.0,136.029,0.04,Rick,0.0,0.0,103.351,103.351,False,False
30.0,137.788,0.02,Rick,0.0,0.0,61.469,61.469,False,False
31.0,140.24,0.02,Rick,0.0,0.0,-7.27,-7.27,False,False
32.0,142.834,0.05,Rick,0.0,0.0,-93.037,-93.037,False,False
33.0,145.014,0.03,Rick,0.0,0.0,-175.572,-175.572,False,False
34.0,146.278,0.0,Rick,0.0,0.0,-227.746,-227.746,False,False
35.0,146.411,0.05,Rick,0.0,0.0,-233.433,-233.433,False,False
36.0,145.638,0.0,Rick,0.0,0.0,-200.93,-200.93,False,False
37.0,144.28,0.05,Rick,0.0,0.0,-146.729,-146.729,False,False
38.0,142.659,0.03,Rick,0.0,0.0,-86.841,-86.841,False,False
39.0,141.075,0.07,Rick,0.0,0.0,-33.395,-33.395,False,False
40.0,139.701,0.05,Rick,0.0,0.0,8.868,8.868,False,False
41.0,138.524,0.02,Rick,0.0,0.0,42.098,42.098,False,False
42.0,137.486,0.04,Rick,0.0,0.0,69.112,69.112,False,False
43.0,136.528,0.02,Rick,0.0,0.0,92.098,92.098,False,False
