step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,132.404,0.04,Morty,0.0,170.182,0.0,170.182,0.0,0.0
2.0,129.966,0.0,Morty,0.0,200.342,0.0,200.342,False,False
3.0,129.36,0.02,Morty,0.0,205.994,0.0,205.994,False,False
4.0,129.999,0.03,Morty,0.0,200.015,0.0,200.015,False,False
5.0,131.348,0.04,Morty,0.0,184.703,0.0,184.703,False,False
6.0,132.908,0.02,Morty,0.0,162.456,0.0,162.456,False,False
7.0,134.204,0.0,Morty,0.0,140.285,0.0,140.285,False,False
8.0,134.775,0.0,Morty,0.0,129.45,0.0,129.45,False,False
9.0,134.232,0.02,Morty,0.0,139.765,0.0,139.765,False,False
10.0,132.555,0.01,Morty,0.0,167.926,0.0,167.926,False,False
11.0,130.266,0.02,Morty,0.0,197.272,0.0,197.272,False,False
12.0,128.013,0.02,Morty,0.0,215.923,0.0,215.923,False,False
13.0,126.446,0.03,Morty,0.0,222.908,0.0,222.908,False,False
14.0,126.147,0.05,Morty,0.0,223.684,0.0,223.684,False,False
15.0,127.272,0.01,Morty,0.0,219.836,0.0,219.836,False,False
16.0,129.342,0.03,Morty,0.0,206.148,0.0,206.148,False,False
17.0,131.734,0.02,Morty,0.0,179.656,0.0,179.656,False,False
18.0,133.827,0.02,Morty,0.0,147.08,0.0,147.08,False,False
19.0,135.058,0.01,Morty,0.0,123.83,0.0,123.83,False,False
20.0,135.204,0.05,Morty,0.0,120.887,0.0,120.887,False,False
21.0,134.55,0.01,Morty,0.0,133.806,0.0,133.806,False,False
22.0,133.496,0.04,Morty,0.0,152.811,0.0,152.811,False,False
23.0,132.444,0.02,Morty,0.0,169.581,0.0,169.581,False,False
24.0,131.768,0.04,Morty,0.0,179.196,0.0,179.196,False,False
25.0,131.684,0.04,Morty,0.0,180.322,0.0,180.322,False,False
26.0,132.175,0.05,Morty,0.0,173.514,0.0,173.514,False,False
27.0,133.171,0.03,Morty,0.0,158.231,0.0,158.231,False,False
28.0,134.602,0.03,Morty,0.0,132.81,0.0,132.81,False,False
29.0,136.382,0.04,Morty,0.0,95.444,0.0,95.444,False,False
30.0,138.346,0.02,Morty,0.0,46.883,0.0,46.883,False,False
31.0,140.201,0.02,Morty,0.0,-6.065,0.0,-6.065,False,False
32.0,141.627,0.05,Rick,0.0,-6.065,-51.45,-57.515,False,False
33.0,142.304,0.03,Rick,0.0,-6.065,-74.43,-80.495,False,False
34.0,141.955,0.0,Rick,0.0,-6.065,-62.478,-68.543,False,False
35.0,140.557,0.08,Rick,0.0,-6.065,-17.017,-23.082,False,False
36.0,138.467,0.0,Rick,0.0,-6.065,43.637,37.571,False,False
37.0,136.129,0.11,Morty,0.0,101.155,43.637,144.792,False,False
38.0,133.984,0.03,Morty,0.0,144.29,43.637,187.926,False,False
39.0,132.441,0.03,Morty,0.0,169.626,43.637,213.262,False,False
40.0,131.703,0.05,Morty,0.0,180.073,43.637,223.71,False,False
41.0,131.66,0.02,Morty,0.0,180.645,43.637,224.282,False,False
42.0,132.136,0.04,Morty,0.0,174.078,43.637,217.715,False,False
43.0,132.954,0.02,Morty,0.0,161.737,43.637,205.374,False,False
44.0,133.937,0.04,Morty,0.0,145.139,43.637,188.775,False,False
45.0,134.907,0.01,Morty,0.0,126.848,43.637,170.485,False,False
46.0,135.689,0.01,Morty,0.0,110.75,43.637,154.386,False,False
47.0,136.105,0.03,Morty,0.0,101.689,43.637,145.326,False,False
48.0,135.978,0.02,Morty,0.0,104.494,43.637,148.131,False,False
49.0,135.263,0.03,Morty,0.0,119.679,43.637,163.316,False,False
50.0,134.205,0.05,Morty,0.0,140.268,43.637,183.904,False,False
51.0,133.017,0.03,Morty,0.0,160.733,43.637,204.37,False,False
52.0,131.734,0.02,Morty,0.0,179.65,43.637,223.287,False,False
53.0,130.394,0.01,Morty,0.0,195.9,43.637,239.536,False,False
54.0,129.034,0.03,Morty,0.0,208.725,43.637,252.361,False,False
55.0,127.69,0.03,Morty,0.0,217.762,43.637,261.399,False,False
56.0,126.4,0.02,Morty,0.0,223.041,43.637,266.678,False,False
57.0,125.199,0.05,Morty,0.0,224.96,43.637,268.597,False,False
58.0,124.125,0.05,Morty,0.0,224.234,43.637,267.871,False,False
59.0,123.21,0.04,Morty,0.0,221.795,43.637,265.432,False,False
60.0,122.455,0.03,Morty,0.0,218.521,43.637,262.158,False,False
61.0,121.815,0.05,Morty,0.0,214.859,43.637,258.495,False,False
62.0,121.238,0.02,Morty,0.0,210.844,43.637,254.481,False,False
63.0,120.667,0.02,Morty,0.0,206.222,43.637,249.859,False,False
64.0,120.057,0.04,Morty,0.0,200.566,43.637,244.203,False,False
65.0,119.416,0.01,Morty,0.0,193.818,43.637,237.455,False,False
66.0,118.831,0.0,Morty,0.0,186.938,43.637,230.575,False,False
67.0,118.406,0.01,Morty,0.0,181.514,43.637,225.151,False,False
68.0,118.246,0.02,Morty,0.0,179.381,43.637,223.018,False,False
69.0,118.442,0.0,Morty,0.0,181.995,43.637,225.631,False,False
70.0,119.003,0.05,Morty,0.0,189.03,43.637,232.667,False,False
71.0,119.81,0.02,Morty,0.0,198.068,43.637,241.705,False,False
72.0,120.722,0.03,Morty,0.0,206.695,43.637,250.332,False,False
73.0,121.592,0.03,Morty,0.0,213.385,43.637,257.021,False,False
74.0,122.288,0.03,Morty,0.0,217.643,43.637,261.28,False,False
75.0,122.737,0.02,Morty,0.0,219.88,43.637,263.517,False,False
76.0,122.963,0.02,Morty,0.0,220.85,43.637,264.487,False,False
77.0,123.007,0.05,Morty,0.0,221.029,43.637,264.666,False,False
78.0,122.913,0.01,Morty,0.0,220.645,43.637,264.281,False,False
79.0,122.73,0.03,Morty,0.0,219.848,43.637,263.484,False,False
80.0,122.55,0.03,Morty,0.0,219.0,43.637,262.636,False,False
81.0,122.529,0.01,Morty,0.0,218.895,43.637,262.532,False,False
82.0,122.836,0.02,Morty,0.0,220.315,43.637,263.952,False,False
83.0,123.639,0.02,Morty,0.0,223.148,43.637,266.784,False,False
84.0,125.08,0.02,Morty,0.0,224.994,43.637,268.63,False,False
85.0,127.129,0.01,Morty,0.0,220.466,43.637,264.103,False,False
86.0,129.5,0.01,Morty,0.0,204.748,43.637,248.384,False,False
87.0,131.85,0.04,Morty,0.0,178.071,43.637,221.708,False,False
88.0,133.837,0.04,Morty,0.0,146.906,43.637,190.542,False,False
89.0,135.152,0.04,Morty,0.0,121.931,43.637,165.568,False,False
90.0,135.698,0.05,Morty,0.0,110.559,43.637,154.195,False,False
91.0,135.689,0.05,Morty,0.0,110.738,43.637,154.374,False,False
92.0,135.413,0.03,Morty,0.0,116.571,43.637,160.208,False,False
93.0,135.154,0.03,Morty,0.0,121.894,43.637,165.53,False,False
94.0,135.199,0.01,Morty,0.0,120.988,43.637,164.625,False,False
95.0,135.832,0.04,Morty,0.0,107.668,43.637,151.305,False,False
96.0,137.34,0.03,Morty,0.0,72.73,43.637,116.367,False,False
97.0,140.007,0.03,Morty,0.0,-0.223,43.637,43.413,False,False
98.0,144.121,0.01,Rick,0.0,-0.223,-140.596,-140.819,False,False
99.0,146.306,0.09,Rick,0.0,-0.223,-228.943,-229.166,False,False
100.0,142.633,0.02,Rick,0.0,-0.223,-85.913,-86.137,False,False
101.0,139.474,0.09,Rick,0.0,-0.223,15.502,15.278,False,False
102.0,136.772,0.04,Morty,0.0,86.426,15.502,101.928,False,False
