step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,165.417,0.04,Rick,0.0,0.0,-1408.509,-1408.509,0.0,0.0
2.0,165.48,0.0,Rick,0.0,0.0,-1413.627,-1413.627,False,False
3.0,163.998,0.02,Rick,0.0,0.0,-1295.816,-1295.816,False,False
4.0,161.391,0.07,Rick,0.0,0.0,-1099.322,-1099.322,False,False
5.0,157.981,0.04,Rick,0.0,0.0,-862.744,-862.744,False,False
6.0,154.042,0.02,Rick,0.0,0.0,-618.43,-618.43,False,False
7.0,149.833,0.08,Rick,0.0,0.0,-391.69,-391.69,False,False
8.0,145.613,0.0,Rick,0.0,0.0,-199.903,-199.903,False,False
9.0,141.633,0.06,Rick,0.0,0.0,-51.647,-51.647,False,False
10.0,138.076,0.09,Rick,0.0,0.0,54.019,54.019,False,False
11.0,135.023,0.02,Rick,0.0,0.0,124.536,124.536,False,False
12.0,132.537,0.09,Rick,0.0,0.0,168.199,168.199,False,False
13.0,130.685,0.03,Rick,0.0,0.0,192.683,192.683,False,False
14.0,129.529,0.05,Rick,0.0,0.0,204.49,204.49,False,False
15.0,129.064,0.01,Rick,0.0,0.0,208.485,208.485,False,False
16.0,129.183,0.03,Rick,0.0,0.0,207.506,207.506,False,False
17.0,129.757,0.02,Rick,0.0,0.0,202.373,202.373,False,False
18.0,130.66,0.02,Rick,0.0,0.0,192.962,192.962,False,False
19.0,131.766,0.01,Rick,0.0,0.0,179.226,179.226,False,False
20.0,132.934,0.05,Rick,0.0,0.0,162.054,162.054,False,False
21.0,134.007,0.01,Rick,0.0,0.0,143.879,143.879,False,False
22.0,134.822,0.04,Rick,0.0,0.0,128.522,128.522,False,False
23.0,135.22,0.02,Rick,0.0,0.0,120.562,120.562,False,False
24.0,135.056,0.04,Rick,0.0,0.0,123.868,123.868,False,False
25.0,134.305,0.08,Rick,0.0,0.0,138.418,138.418,False,False
