step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,142.563,0.04,Rick,0.0,0.0,-83.447,-83.447,0.0,0.0
2.0,140.215,0.0,Rick,0.0,0.0,-6.496,-6.496,False,False
3.0,137.951,0.02,Rick,0.0,0.0,57.276,57.276,False,False
4.0,135.834,0.07,Morty,0.0,107.625,57.276,164.901,False,False
5.0,133.929,0.04,Morty,0.0,145.28,57.276,202.556,False,False
6.0,132.305,0.02,Morty,0.0,171.635,57.276,228.911,False,False
7.0,131.043,0.0,Morty,0.0,188.485,57.276,245.761,False,False
8.0,130.23,0.0,Morty,0.0,197.647,57.276,254.923,False,False
9.0,129.944,0.06,Morty,0.0,200.561,57.276,257.837,False,False
10.0,130.143,0.07,Morty,0.0,198.553,57.276,255.829,False,False
11.0,130.605,0.02,Morty,0.0,193.582,57.276,250.858,False,False
12.0,131.073,0.02,Morty,0.0,188.113,57.276,245.389,False,False
13.0,131.295,0.03,Morty,0.0,185.377,57.276,242.653,False,False
14.0,131.049,0.05,Morty,0.0,188.404,57.276,245.68,False,False
15.0,130.297,0.01,Morty,0.0,196.944,57.276,254.221,False,False
16.0,129.261,0.03,Morty,0.0,206.844,57.276,264.12,False,False
17.0,128.227,0.02,Morty,0.0,214.586,57.276,271.862,False,False
18.0,127.482,0.02,Morty,0.0,218.841,57.276,276.117,False,False
19.0,127.288,0.01,Morty,0.0,219.767,57.276,277.043,False,False
20.0,127.754,0.05,Morty,0.0,217.418,57.276,274.694,False,False
21.0,128.758,0.01,Morty,0.0,210.879,57.276,268.156,False,False
22.0,130.127,0.04,Morty,0.0,198.71,57.276,255.986,False,False
23.0,131.69,0.02,Morty,0.0,180.238,57.276,237.514,False,False
24.0,133.284,0.04,Morty,0.0,156.373,57.276,213.649,False,False
25.0,134.799,0.04,Morty,0.0,128.977,57.276,186.253,False,False
26.0,136.206,0.06,Morty,0.0,99.432,57.276,156.708,False,False
27.0,137.492,0.03,Morty,0.0,68.946,57.276,126.222,False,False
28.0,138.647,0.06,Morty,0.0,38.76,57.276,96.037,False,False
29.0,139.653,0.04,Morty,0.0,10.286,57.276,67.562,False,False
30.0,140.461,0.02,Morty,0.0,-14.028,57.276,43.248,False,False
31.0,140.969,0.02,Rick,0.0,-14.028,-30.015,-44.043,False,False
32.0,141.068,0.08,Rick,0.0,-14.028,-33.185,-47.213,False,False
33.0,140.646,0.03,Rick,0.0,-14.028,-19.809,-33.837,False,False
34.0,139.614,0.0,Rick,0.0,-14.028,11.437,-2.591,False,False
35.0,138.005,0.08,Morty,0.0,55.87,11.437,67.307,False,False
36.0,136.042,0.0,Morty,0.0,103.08,11.437,114.517,False,False
37.0,133.987,0.05,Morty,0.0,144.228,11.437,155.665,False,False
38.0,132.105,0.03,Morty,0.0,174.518,11.437,185.955,False,False
39.0,130.639,0.07,Morty,0.0,193.203,11.437,204.64,False,False
40.0,129.715,0.05,Morty,0.0,202.773,11.437,214.21,False,False
41.0,129.281,0.02,Morty,0.0,206.669,11.437,218.106,False,False
42.0,129.25,0.04,Morty,0.0,206.94,11.437,218.377,False,False
43.0,129.529,0.02,Morty,0.0,204.486,11.437,215.923,False,False
44.0,130.03,0.07,Morty,0.0,199.698,11.437,211.135,False,False
45.0,130.662,0.01,Morty,0.0,192.938,11.437,204.375,False,False
46.0,131.336,0.01,Morty,0.0,184.855,11.437,196.292,False,False
47.0,131.961,0.03,Morty,0.0,176.54,11.437,187.977,False,False
48.0,132.448,0.07,Morty,0.0,169.524,11.437,180.961,False,False
49.0,133.525,0.03,Morty,0.0,152.324,11.437,163.761,False,False
50.0,135.845,0.05,Morty,0.0,107.392,11.437,118.829,False,False
51.0,137.573,0.03,Morty,0.0,66.92,11.437,78.357,False,False
52.0,138.744,0.02,Morty,0.0,36.091,11.437,47.528,False,False
53.0,139.393,0.01,Morty,0.0,17.828,11.437,29.265,False,False
54.0,139.555,0.03,Morty,0.0,13.158,11.437,24.595,False,False
55.0,139.263,0.03,Morty,0.0,21.568,11.437,33.005,False,False
