step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,136.991,0.04,Morty,0.0,81.222,0.0,81.222,0.0,0.0
2.0,138.778,0.0,Morty,0.0,35.155,0.0,35.155,False,False
3.0,141.215,0.02,Morty,0.0,-37.914,0.0,-37.914,False,False
4.0,144.022,0.03,Rick,0.0,-37.914,-136.84,-174.754,False,False
5.0,146.893,0.04,Rick,0.0,-37.914,-254.307,-292.221,False,False
6.0,149.503,0.06,Rick,0.0,-37.914,-375.386,-413.301,False,False
7.0,151.517,0.0,Rick,0.0,-37.914,-478.165,-516.08,False,False
8.0,152.598,0.0,Rick,0.0,-37.914,-536.658,-574.572,False,False
9.0,152.447,0.06,Rick,0.0,-37.914,-528.34,-566.255,False,False
10.0,151.016,0.07,Rick,0.0,-37.914,-451.811,-489.726,False,False
11.0,148.631,0.02,Rick,0.0,-37.914,-333.441,-371.355,False,False
12.0,145.706,0.02,Rick,0.0,-37.914,-203.747,-241.661,False,False
13.0,142.653,0.03,Rick,0.0,-37.914,-86.631,-124.545,False,False
14.0,139.853,0.05,Rick,0.0,-37.914,4.381,-33.534,False,False
15.0,137.494,0.01,Morty,0.0,68.911,4.381,73.292,False,False
16.0,135.468,0.03,Morty,0.0,115.413,4.381,119.794,False,False
17.0,133.608,0.02,Morty,0.0,150.909,4.381,155.289,False,False
18.0,131.742,0.02,Morty,0.0,179.547,4.381,183.928,False,False
19.0,129.734,0.01,Morty,0.0,202.59,4.381,206.971,False,False
20.0,127.637,0.02,Morty,0.0,218.049,4.381,222.429,False,False
21.0,125.788,0.01,Morty,0.0,224.379,4.381,228.76,False,False
22.0,124.59,0.04,Morty,0.0,224.832,4.381,229.213,False,False
23.0,124.445,0.02,Morty,0.0,224.692,4.381,229.073,False,False
24.0,125.699,0.04,Morty,0.0,224.511,4.381,228.892,False,False
25.0,128.359,0.04,Morty,0.0,213.716,4.381,218.097,False,False
26.0,131.927,0.01,Morty,0.0,177.022,4.381,181.403,False,False
27.0,135.79,0.03,Morty,0.0,108.585,4.381,112.966,False,False
28.0,139.336,0.03,Morty,0.0,19.474,4.381,23.855,False,False
29.0,142.007,0.04,Morty,0.0,-64.254,4.381,-59.873,False,False
30.0,143.561,0.02,Rick,0.0,-64.254,-119.527,-183.781,False,False
31.0,144.231,0.02,Rick,0.0,-64.254,-144.841,-209.095,False,False
32.0,144.356,0.05,Rick,0.0,-64.254,-149.648,-213.902,False,False
33.0,144.274,0.03,Rick,0.0,-64.254,-146.486,-210.741,False,False
34.0,144.297,0.0,Rick,0.0,-64.254,-147.363,-211.617,False,False
35.0,144.567,0.05,Rick,0.0,-64.254,-157.882,-222.136,False,False
36.0,144.978,0.0,Rick,0.0,-64.254,-174.118,-238.372,False,False
37.0,145.365,0.05,Rick,0.0,-64.254,-189.715,-253.969,False,False
38.0,145.563,0.03,Rick,0.0,-64.254,-197.852,-262.106,False,False
39.0,145.427,0.07,Rick,0.0,-64.254,-192.266,-256.52,False,False
40.0,144.908,0.05,Rick,0.0,-64.254,-171.332,-235.586,False,False
41.0,144.108,0.02,Rick,0.0,-64.254,-140.115,-204.369,False,False
42.0,143.162,0.04,Rick,0.0,-64.254,-104.844,-169.098,False,False
43.0,142.204,0.02,Rick,0.0,-64.254,-70.968,-135.222,False,False
44.0,141.369,0.07,Rick,0.0,-64.254,-42.947,-107.201,False,False
45.0,140.792,0.01,Rick,0.0,-64.254,-24.4,-88.654,False,False
46.0,140.608,0.01,Rick,0.0,-64.254,-18.621,-82.876,False,False
47.0,140.952,0.03,Rick,0.0,-64.254,-29.457,-93.711,False,False
48.0,141.957,0.07,Rick,0.0,-64.254,-62.543,-126.797,False,False
49.0,143.061,0.03,Rick,0.0,-64.254,-101.213,-165.467,False,False
50.0,143.125,0.05,Rick,0.0,-64.254,-103.53,-167.784,False,False
51.0,142.565,0.03,Rick,0.0,-64.254,-83.543,-147.797,False,False
52.0,141.629,0.02,Rick,0.0,-64.254,-51.523,-115.777,False,False
53.0,140.564,0.01,Rick,0.0,-64.254,-17.236,-81.491,False,False
54.0,139.618,0.03,Rick,0.0,-64.254,11.316,-52.938,False,False
55.0,139.039,0.03,Morty,0.0,27.915,11.316,39.23,False,False
56.0,139.074,0.02,Morty,0.0,26.923,11.316,38.239,False,False
57.0,139.972,0.03,Morty,0.0,0.852,11.316,12.168,False,False
58.0,141.979,0.01,Morty,0.0,-63.296,11.316,-51.981,False,False
59.0,145.284,0.04,Rick,0.0,-63.296,-186.448,-249.744,False,False
60.0,149.708,0.03,Rick,0.0,-63.296,-385.504,-448.8,False,False
61.0,154.527,0.05,Rick,0.0,-63.296,-646.821,-710.117,False,False
62.0,158.892,0.02,Rick,0.0,-63.296,-923.667,-986.963,False,False
63.0,161.958,0.02,Rick,0.0,-63.296,-1140.864,-1204.16,False,False
64.0,162.963,0.07,Rick,0.0,-63.296,-1216.179,-1279.475,False,False
65.0,161.665,0.01,Rick,0.0,-63.296,-1119.311,-1182.607,False,False
66.0,158.597,0.0,Rick,0.0,-63.296,-903.768,-967.064,False,False
67.0,154.466,0.01,Rick,0.0,-63.296,-643.24,-706.536,False,False
68.0,149.977,0.02,Rick,0.0,-63.296,-398.864,-462.16,False,False
69.0,145.791,0.0,Rick,0.0,-63.296,-207.26,-270.556,False,False
70.0,142.287,0.05,Rick,0.0,-63.296,-73.849,-137.145,False,False
71.0,139.428,0.02,Rick,0.0,-63.296,16.822,-46.474,False,False
72.0,137.083,0.03,Morty,0.0,78.997,16.822,95.818,False,False
73.0,135.121,0.03,Morty,0.0,122.573,16.822,139.395,False,False
74.0,133.423,0.03,Morty,0.0,154.061,16.822,170.883,False,False
75.0,131.948,0.02,Morty,0.0,176.73,16.822,193.552,False,False
76.0,130.77,0.02,Morty,0.0,191.706,16.822,208.528,False,False
77.0,129.99,0.04,Morty,0.0,200.102,16.822,216.924,False,False
78.0,129.706,0.01,Morty,0.0,202.85,16.822,219.671,False,False
79.0,129.993,0.03,Morty,0.0,200.074,16.822,216.896,False,False
80.0,130.758,0.03,Morty,0.0,191.847,16.822,208.668,False,False
81.0,131.667,0.01,Morty,0.0,180.548,16.822,197.37,False,False
82.0,132.331,0.02,Morty,0.0,171.254,16.822,188.076,False,False
83.0,132.36,0.02,Morty,0.0,170.827,16.822,187.648,False,False
84.0,131.415,0.02,Morty,0.0,183.853,16.822,200.675,False,False
85.0,129.451,0.01,Morty,0.0,205.184,16.822,222.006,False,False
86.0,126.874,0.01,Morty,0.0,221.488,16.822,238.31,False,False
87.0,124.184,0.04,Morty,0.0,224.334,16.822,241.156,False,False
88.0,121.884,0.04,Morty,0.0,215.293,16.822,232.115,False,False
89.0,120.433,0.04,Morty,0.0,204.144,16.822,220.966,False,False
90.0,120.029,0.01,Morty,0.0,200.285,16.822,217.107,False,False
91.0,120.478,0.03,Morty,0.0,204.548,16.822,221.37,False,False
92.0,121.5,0.03,Morty,0.0,212.751,16.822,229.572,False,False
93.0,122.816,0.03,Morty,0.0,220.23,16.822,237.052,False,False
94.0,124.145,0.01,Morty,0.0,224.269,16.822,241.091,False,False
95.0,125.208,0.04,Morty,0.0,224.957,16.822,241.779,False,False
96.0,125.723,0.03,Morty,0.0,224.477,16.822,241.299,False,False
97.0,125.412,0.03,Morty,0.0,224.831,16.822,241.652,False,False
98.0,123.993,0.01,Morty,0.0,223.986,16.822,240.807,False,False
99.0,122.855,0.02,Morty,0.0,220.399,16.822,237.221,False,False
100.0,123.893,0.02,Morty,0.0,223.775,16.822,240.597,False,False
101.0,124.592,0.03,Morty,0.0,224.833,16.822,241.655,False,False
102.0,124.933,0.04,Morty,0.0,224.995,16.822,241.817,False,False
103.0,124.899,0.03,Morty,0.0,224.99,16.822,241.811,False,False
104.0,124.472,0.01,Morty,0.0,224.721,16.822,241.543,False,False
105.0,123.636,0.02,Morty,0.0,223.139,16.822,239.961,False,False
106.0,122.372,0.0,Morty,0.0,218.094,16.822,234.915,False,False
107.0,120.663,0.01,Morty,0.0,206.193,16.822,223.015,False,False
108.0,118.492,0.01,Morty,0.0,182.648,16.822,199.47,False,False
109.0,115.872,0.02,Morty,0.0,141.685,16.822,158.506,False,False
110.0,113.004,0.01,Morty,0.0,81.088,16.822,97.91,False,False
111.0,110.366,0.03,Morty,0.0,10.853,16.822,27.675,False,False
112.0,108.502,0.03,Morty,0.0,-47.182,16.822,-30.36,False,False
113.0,107.953,0.0,Morty,0.0,-65.593,16.822,-48.772,False,False
114.0,109.18,0.02,Morty,0.0,-25.258,16.822,-8.436,False,False
115.0,112.157,0.03,Morty,0.0,60.053,16.822,76.875,False,False
116.0,116.124,0.02,Morty,0.0,146.212,16.822,163.034,False,False
117.0,120.16,0.03,Morty,0.0,201.574,16.822,218.396,False,False
118.0,123.344,0.01,Morty,0.0,222.259,16.822,239.081,False,False
119.0,124.848,0.04,Morty,0.0,224.977,16.822,241.799,False,False
120.0,124.393,0.02,Morty,0.0,224.632,16.822,241.453,False,False
121.0,122.533,0.03,Morty,0.0,218.912,16.822,235.734,False,False
122.0,120.002,0.04,Morty,0.0,200.024,16.822,216.846,False,False
123.0,117.538,0.02,Morty,0.0,169.323,16.822,186.145,False,False
124.0,115.814,0.02,Morty,0.0,140.613,16.822,157.435,False,False
125.0,115.127,0.0,Morty,0.0,127.522,16.822,144.344,False,False
126.0,115.213,0.01,Morty,0.0,129.21,16.822,146.032,False,False
127.0,115.681,0.0,Morty,0.0,138.162,16.822,154.984,False,False
128.0,116.142,0.0,Morty,0.0,146.544,16.822,163.366,False,False
129.0,116.234,0.04,Morty,0.0,148.163,16.822,164.985,False,False
130.0,115.763,0.01,Morty,0.0,139.683,16.822,156.505,False,False
131.0,114.788,0.03,Morty,0.0,120.721,16.822,137.543,False,False
132.0,113.424,0.04,Morty,0.0,91.007,16.822,107.829,False,False
133.0,111.787,0.03,Morty,0.0,50.417,16.822,67.238,False,False
134.0,109.993,0.02,Morty,0.0,-0.205,16.822,16.617,False,False
135.0,108.174,0.0,Morty,0.0,-58.12,16.822,-41.299,False,False
136.0,106.48,0.02,Morty,0.0,-118.0,16.822,-101.178,False,False
137.0,105.066,0.01,Morty,0.0,-172.353,16.822,-155.531,False,False
138.0,104.089,0.01,Morty,0.0,-212.28,16.822,-195.459,False,False
139.0,103.68,0.01,Morty,0.0,-229.56,16.822,-212.738,False,False
140.0,103.834,0.04,Morty,0.0,-222.985,16.822,-206.163,False,False
141.0,104.343,0.02,Morty,0.0,-201.704,16.822,-184.883,False,False
142.0,104.951,0.01,Morty,0.0,-176.98,16.822,-160.158,False,False
143.0,105.401,0.01,Morty,0.0,-159.12,16.822,-142.299,False,False
144.0,105.439,0.01,Morty,0.0,-157.631,16.822,-140.809,False,False
145.0,104.809,0.0,Morty,0.0,-182.671,16.822,-165.849,False,False
146.0,103.256,0.0,Morty,0.0,-247.81,16.822,-230.988,False,False
147.0,100.524,0.03,Morty,0.0,-374.096,16.822,-357.274,False,False
148.0,96.357,0.0,Morty,0.0,-595.425,16.822,-578.603,False,False
149.0,94.193,0.02,Morty,0.0,-724.056,16.822,-707.235,False,False
150.0,97.973,0.04,Morty,0.0,-505.466,16.822,-488.644,False,False
151.0,101.175,0.0,Morty,0.0,-342.608,16.822,-325.787,False,False
152.0,103.888,0.04,Morty,0.0,-220.703,16.822,-203.881,False,False
153.0,106.199,0.0,Morty,0.0,-128.488,16.822,-111.666,False,False
154.0,108.194,0.04,Morty,0.0,-57.444,16.822,-40.622,False,False
155.0,109.961,0.01,Morty,0.0,-1.165,16.822,15.656,False,False
156.0,111.588,0.0,Morty,0.0,45.112,16.822,61.934,False,False
157.0,113.161,0.01,Morty,0.0,84.833,16.822,101.655,False,False
158.0,114.767,0.03,Morty,0.0,120.296,16.822,137.117,False,False
