step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,120.651,0.04,Rick,0.0,0.0,206.084,206.084,0.0,0.0
2.0,121.259,0.0,Rick,0.0,0.0,211.007,211.007,False,False
3.0,121.69,0.02,Rick,0.0,0.0,214.042,214.042,False,False
4.0,122.145,0.07,Rick,0.0,0.0,216.848,216.848,False,False
5.0,122.785,0.04,Rick,0.0,0.0,220.093,220.093,False,False
6.0,123.744,0.06,Rick,0.0,0.0,223.423,223.423,False,False
7.0,125.144,0.0,Rick,0.0,0.0,224.979,224.979,False,False
8.0,127.098,0.0,Rick,0.0,0.0,220.599,220.599,False,False
9.0,129.68,0.06,Rick,0.0,0.0,203.099,203.099,False,False
10.0,132.761,0.07,Rick,0.0,0.0,164.764,164.764,False,False
11.0,135.908,0.02,Rick,0.0,0.0,106.012,106.012,False,False
12.0,138.62,0.02,Rick,0.0,0.0,39.506,39.506,False,False
13.0,140.395,0.03,Rick,0.0,0.0,-12.008,-12.008,False,False
14.0,140.792,0.05,Rick,0.0,0.0,-24.399,-24.399,False,False
15.0,139.717,0.01,Rick,0.0,0.0,8.419,8.419,False,False
16.0,137.593,0.03,Rick,0.0,0.0,66.407,66.407,False,False
17.0,134.964,0.02,Rick,0.0,0.0,125.723,125.723,False,False
18.0,132.37,0.02,Rick,0.0,0.0,170.683,170.683,False,False
19.0,130.32,0.01,Rick,0.0,0.0,196.697,196.697,False,False
20.0,129.117,0.05,Rick,0.0,0.0,208.051,208.051,False,False
21.0,128.755,0.01,Rick,0.0,0.0,210.902,210.902,False,False
22.0,129.16,0.04,Rick,0.0,0.0,207.694,207.694,False,False
23.0,130.259,0.02,Rick,0.0,0.0,197.344,197.344,False,False
24.0,131.964,0.04,Rick,0.0,0.0,176.503,176.503,False,False
25.0,134.102,0.04,Rick,0.0,0.0,142.15,142.15,False,False
26.0,136.373,0.06,Rick,0.0,0.0,95.654,95.654,False,False
27.0,138.447,0.03,Rick,0.0,0.0,44.168,44.168,False,False
28.0,139.996,0.06,Rick,0.0,0.0,0.114,0.114,False,False
29.0,140.727,0.04,Rick,0.0,0.0,-22.351,-22.351,False,False
30.0,140.57,0.02,Rick,0.0,0.0,-17.418,-17.418,False,False
31.0,139.784,0.02,Rick,0.0,0.0,6.442,6.442,False,False
32.0,138.703,0.05,Rick,0.0,0.0,37.224,37.224,False,False
33.0,137.662,0.03,Rick,0.0,0.0,64.671,64.671,False,False
34.0,136.969,0.0,Rick,0.0,0.0,81.744,81.744,False,False
35.0,136.778,0.05,Rick,0.0,0.0,86.272,86.272,False,False
36.0,137.014,0.0,Rick,0.0,0.0,80.664,80.664,False,False
37.0,137.549,0.05,Rick,0.0,0.0,67.531,67.531,False,False
38.0,138.255,0.03,Rick,0.0,0.0,49.304,49.304,False,False
39.0,139.009,0.07,Rick,0.0,0.0,28.735,28.735,False,False
40.0,139.71,0.05,Rick,0.0,0.0,8.618,8.618,False,False
41.0,140.287,0.02,Rick,0.0,0.0,-8.689,-8.689,False,False
42.0,140.678,0.04,Rick,0.0,0.0,-20.803,-20.803,False,False
43.0,140.821,0.02,Rick,0.0,0.0,-25.309,-25.309,False,False
44.0,140.654,0.07,Rick,0.0,0.0,-20.04,-20.04,False,False
45.0,140.114,0.01,Rick,0.0,0.0,-3.419,-3.419,False,False
46.0,139.138,0.01,Rick,0.0,0.0,25.114,25.114,False,False
47.0,137.665,0.03,Rick,0.0,0.0,64.594,64.594,False,False
48.0,135.632,0.07,Rick,0.0,0.0,111.955,111.955,False,False
49.0,133.835,0.03,Rick,0.0,0.0,146.938,146.938,False,False
50.0,133.398,0.05,Rick,0.0,0.0,154.466,154.466,False,False
51.0,133.181,0.03,Rick,0.0,0.0,158.065,158.065,False,False
52.0,133.065,0.02,Rick,0.0,0.0,159.964,159.964,False,False
53.0,132.928,0.01,Rick,0.0,0.0,162.144,162.144,False,False
54.0,132.653,0.03,Rick,0.0,0.0,166.435,166.435,False,False
55.0,132.119,0.03,Rick,0.0,0.0,174.324,174.324,False,False
56.0,131.206,0.06,Rick,0.0,0.0,186.48,186.48,False,False
57.0,129.796,0.05,Rick,0.0,0.0,201.996,201.996,False,False
58.0,127.769,0.05,Rick,0.0,0.0,217.333,217.333,False,False
59.0,125.036,0.06,Rick,0.0,0.0,224.999,224.999,False,False
60.0,121.695,0.03,Rick,0.0,0.0,214.079,214.079,False,False
61.0,118.126,0.05,Rick,0.0,0.0,177.752,177.752,False,False
