,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
0,135.98573049898772,0.0,120.39950078618892,0.0,0.0,0.0,0.0,0.0,0.0,135.98573049898772
0,131.81385187052442,0.10000000149011612,123.53067335550384,0.0,0.0,False,False,False,False,131.81385187052442
0,129.6949592052976,0.10000000149011612,124.56515366972258,0.0,0.0,False,False,False,False,129.6949592052976
0,129.2238474496901,0.10000000149011612,124.7442770666645,0.0,0.0,False,False,False,False,129.2238474496901
0,129.95842626859604,0.10000000149011612,124.45690923472273,0.0,0.0,False,False,False,False,129.95842626859604
0,131.43723652930785,0.10000000149011612,123.7419057474084,0.0,0.0,False,False,False,False,131.43723652930785
0,133.18973665857652,0.0,122.65843168714798,0.0,0.0,False,False,False,False,133.18973665857652
0,134.7421761472086,0.0,121.4846931013069,0.0,0.0,False,False,False,False,134.7421761472086
0,135.67275913536278,0.10000000149011612,120.68476135786318,0.0,0.0,False,False,False,False,135.67275913536278
0,135.87300702264707,0.0,120.50318489421613,0.0,0.0,False,False,False,False,135.87300702264707
0,135.7043232128649,0.0,120.65636238925686,0.0,0.0,False,False,False,False,135.7043232128649
0,135.63462976286522,0.0,120.71895646991106,0.0,0.0,False,False,False,False,135.63462976286522
0,136.13441683967787,0.0,120.26111690063112,0.0,0.0,False,False,False,False,136.13441683967787
0,137.61570782878835,0.10000000149011612,118.78178092133078,0.0,0.0,False,False,False,False,137.61570782878835
0,140.12761384297136,0.0,115.85491679083157,0.0,0.0,False,False,False,False,140.12761384297136
0,143.17352983729586,0.0,111.59990101499716,0.0,0.0,False,False,False,False,143.17352983729586
0,146.1366973946113,0.10000000149011612,106.71797438109274,0.0,0.0,False,False,False,False,146.1366973946113
0,148.4016172648131,0.0,102.49265827831528,0.0,0.0,False,False,False,False,148.4016172648131
0,149.43022729528883,0.10000000149011612,100.43246767578103,0.0,0.0,False,False,False,False,149.43022729528883
0,149.14369796109713,0.10000000149011612,101.0152204003532,0.0,0.0,False,False,False,False,149.14369796109713
0,148.1514547505402,0.0,102.98036588590526,0.0,0.0,False,False,False,False,148.1514547505402
0,147.21621936087976,0.0,104.75743658710144,0.0,0.0,False,False,False,False,147.21621936087976
