step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,144.357,0.05,Rick,0.0,0.0,109.739,,0.0,0.0,0.0,0.0,0.0,0.0,,109.739
2.0,144.914,0.08,Rick,0.0,0.0,108.82,,False,False,False,False,False,False,,108.82
3.0,146.351,0.06,Rick,0.0,0.0,106.336,,False,False,False,False,False,False,,106.336
4.0,148.333,0.05,Rick,0.0,0.0,102.628,,False,False,False,False,False,False,,102.628
5.0,150.541,0.07,Rick,0.0,0.0,98.108,,False,False,False,False,False,False,,98.108
6.0,152.668,0.05,Rick,0.0,0.0,93.372,,False,False,False,False,False,False,,93.372
7.0,154.407,0.07,Rick,0.0,0.0,89.218,,False,False,False,False,False,False,,89.218
8.0,155.454,0.09,Rick,0.0,0.0,86.595,,False,False,False,False,False,False,,86.595
9.0,155.539,0.06,Rick,0.0,0.0,86.379,,False,False,False,False,False,False,,86.379
10.0,154.601,0.09,Rick,0.0,0.0,88.74,,False,False,False,False,False,False,,88.74
11.0,152.893,0.06,Rick,0.0,0.0,92.848,,False,False,False,False,False,False,,92.848
12.0,150.738,0.08,Rick,0.0,0.0,97.685,,False,False,False,False,False,False,,97.685
13.0,148.459,0.07,Rick,0.0,0.0,102.38,,False,False,False,False,False,False,,102.38
14.0,146.356,0.09,Rick,0.0,0.0,106.328,,False,False,False,False,False,False,,106.328
15.0,144.606,0.06,Rick,0.0,0.0,109.331,,False,False,False,False,False,False,,109.331
16.0,143.2,0.05,Rick,0.0,0.0,111.559,,False,False,False,False,False,False,,111.559
17.0,142.089,0.07,Rick,0.0,0.0,113.204,,False,False,False,False,False,False,,113.204
18.0,141.222,0.06,Rick,0.0,0.0,114.415,,False,False,False,False,False,False,,114.415
19.0,140.542,0.06,Rick,0.0,0.0,115.321,,False,False,False,False,False,False,,115.321
20.0,139.926,0.06,Rick,0.0,0.0,116.109,,False,False,False,False,False,False,,116.109
21.0,139.152,0.06,Rick,0.0,0.0,117.054,,False,False,False,False,False,False,,117.054
22.0,137.981,0.06,Rick,0.0,0.0,118.389,,False,False,False,False,False,False,,118.389
23.0,136.172,0.05,Rick,0.0,0.0,120.226,,False,False,False,False,False,False,,120.226
24.0,133.527,0.06,Rick,0.0,0.0,122.42,,False,False,False,False,False,False,,122.42
25.0,130.069,0.06,Rick,0.0,0.0,124.41,,False,False,False,False,False,False,,124.41
26.0,126.158,0.08,Rick,0.0,0.0,125.458,,False,False,False,False,False,False,,125.458
27.0,122.229,0.07,Rick,0.0,0.0,125.226,,False,False,False,False,False,False,,125.226
28.0,118.719,0.06,Rick,0.0,0.0,123.93,,False,False,False,False,False,False,,123.93
29.0,116.013,0.09,Morty,0.0,122.23,123.93,,False,False,False,False,False,False,,246.16
30.0,114.197,0.0,Morty,0.0,120.746,123.93,,False,False,False,False,False,False,,244.676
31.0,112.898,0.04,Morty,0.0,119.517,123.93,,False,False,False,False,False,False,,243.447
32.0,111.647,0.01,Morty,0.0,118.199,123.93,,False,False,False,False,False,False,,242.129
33.0,109.971,0.01,Morty,0.0,116.229,123.93,,False,False,False,False,False,False,,240.159
34.0,107.456,0.01,Morty,0.0,112.834,123.93,,False,False,False,False,False,False,,236.764
35.0,104.017,0.01,Morty,0.0,107.338,123.93,,False,False,False,False,False,False,,231.268
36.0,100.062,0.0,Morty,0.0,99.796,123.93,,False,False,False,False,False,False,,223.726
37.0,96.108,0.03,Morty,0.0,90.955,123.93,,False,False,False,False,False,False,,214.885
38.0,92.676,0.04,Morty,0.0,82.223,123.93,,False,False,False,False,False,False,,206.153
39.0,90.233,0.03,Morty,0.0,75.407,123.93,,False,False,False,False,False,False,,199.337
40.0,88.934,0.02,Morty,0.0,71.583,123.93,,False,False,False,False,False,False,,195.513
41.0,88.47,0.0,Morty,0.0,70.18,123.93,,False,False,False,False,False,False,,194.11
42.0,88.424,0.0,Morty,0.0,70.039,123.93,,False,False,False,False,False,False,,193.969
43.0,88.378,0.04,Morty,0.0,69.901,123.93,,False,False,False,False,False,False,,193.831
44.0,87.915,0.02,Morty,0.0,68.482,123.93,,False,False,False,False,False,False,,192.412
45.0,86.615,0.03,Morty,0.0,64.399,123.93,,False,False,False,False,False,False,,188.329
46.0,84.054,0.03,Morty,0.0,55.951,123.93,,False,False,False,False,False,False,,179.882
