step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward,Done,Truncation
309.0,127.198,0.1,Rick,0.0,0.0,125.304,,,,,,,,,125.304,False,False
310.0,127.547,0.09,Rick,0.0,0.0,125.232,,,,,,,,,125.232,False,False
311.0,127.548,0.11,Rick,0.0,0.0,125.231,,,,,,,,,125.231,False,False
312.0,127.097,0.06,Rick,0.0,0.0,125.323,,,,,,,,,125.323,False,False
313.0,126.296,0.0,Rick,0.0,0.0,125.442,,,,,,,,,125.442,False,False
314.0,125.298,0.09,Rick,0.0,0.0,125.517,,,,,,,,,125.517,False,False
315.0,124.256,0.1,Rick,0.0,0.0,125.506,,,,,,,,,125.506,False,False
316.0,123.315,0.08,Rick,0.0,0.0,125.419,,,,,,,,,125.419,False,False
317.0,122.544,0.09,Rick,0.0,0.0,125.292,,,,,,,,,125.292,False,False
318.0,121.899,0.01,Rick,0.0,0.0,125.148,,,,,,,,,125.148,False,False
319.0,121.31,0.03,Rick,0.0,0.0,124.986,,,,,,,,,124.986,False,False
320.0,120.712,0.04,Rick,0.0,0.0,124.792,,,,,,,,,124.792,False,False
321.0,120.045,0.04,Rick,0.0,0.0,124.541,,,,,,,,,124.541,False,False
322.0,119.289,0.14,Rick,0.0,0.0,124.21,,,,,,,,,124.21,False,False
323.0,118.483,0.09,Morty,0.0,123.807,124.21,,,,,,,,,248.017,False,False
324.0,117.683,0.07,Morty,0.0,123.351,124.21,,,,,,,,,247.562,False,False
325.0,116.941,0.03,Morty,0.0,122.882,124.21,,,,,,,,,247.092,False,False
326.0,116.307,0.07,Morty,0.0,122.444,124.21,,,,,,,,,246.655,False,False
327.0,115.793,0.05,Morty,0.0,122.065,124.21,,,,,,,,,246.275,False,False
328.0,115.357,0.07,Morty,0.0,121.726,124.21,,,,,,,,,245.937,False,False
329.0,114.946,0.05,Morty,0.0,121.391,124.21,,,,,,,,,245.602,False,False
330.0,114.504,0.02,Morty,0.0,121.016,124.21,,,,,,,,,245.227,False,False
331.0,113.987,0.04,Morty,0.0,120.557,124.21,,,,,,,,,244.767,False,False
332.0,113.392,0.07,Morty,0.0,120.001,124.21,,,,,,,,,244.212,False,False
333.0,112.787,0.06,Morty,0.0,119.404,124.21,,,,,,,,,243.615,False,False
334.0,112.25,0.04,Morty,0.0,118.85,124.21,,,,,,,,,243.061,False,False
335.0,111.863,0.0,Morty,0.0,118.436,124.21,,,,,,,,,242.646,False,False
336.0,111.696,0.04,Morty,0.0,118.254,124.21,,,,,,,,,242.464,False,False
337.0,111.755,0.06,Morty,0.0,118.317,124.21,,,,,,,,,242.528,False,False
338.0,111.943,0.06,Morty,0.0,118.522,124.21,,,,,,,,,242.733,False,False
339.0,112.146,0.07,Morty,0.0,118.74,124.21,,,,,,,,,242.95,False,False
340.0,112.247,0.0,Morty,0.0,118.847,124.21,,,,,,,,,243.057,False,False
341.0,112.139,0.06,Morty,0.0,118.732,124.21,,,,,,,,,242.943,False,False
342.0,111.763,0.07,Morty,0.0,118.326,124.21,,,,,,,,,242.537,False,False
343.0,111.132,0.06,Morty,0.0,117.619,124.21,,,,,,,,,241.829,False,False
344.0,110.277,0.06,Morty,0.0,116.606,124.21,,,,,,,,,240.817,False,False
345.0,109.227,0.03,Morty,0.0,115.28,124.21,,,,,,,,,239.49,False,False
346.0,108.012,0.06,Morty,0.0,113.631,124.21,,,,,,,,,237.841,False,False
347.0,106.663,0.0,Morty,0.0,111.654,124.21,,,,,,,,,235.864,False,False
348.0,105.208,0.05,Morty,0.0,109.353,124.21,,,,,,,,,233.563,False,False
349.0,103.677,0.03,Morty,0.0,106.741,124.21,,,,,,,,,230.951,False,False
350.0,102.1,0.01,Morty,0.0,103.845,124.21,,,,,,,,,228.056,False,False
351.0,100.43,0.05,Morty,0.0,100.554,124.21,,,,,,,,,224.765,False,False
352.0,98.272,0.04,Morty,0.0,95.955,124.21,,,,,,,,,220.165,False,False
353.0,95.203,0.07,Morty,0.0,88.748,124.21,,,,,,,,,212.958,False,False
354.0,91.544,0.03,Morty,0.0,79.127,124.21,,,,,,,,,203.338,False,False
355.0,87.614,0.01,Morty,0.0,67.551,124.21,,,,,,,,,191.761,False,False
356.0,83.733,0.01,Morty,0.0,54.851,124.21,,,,,,,,,179.061,False,False
357.0,80.218,0.06,Jerry,42.269,54.851,124.21,,,,,,,,,221.331,False,False
358.0,77.39,0.0,Jerry,31.397,54.851,124.21,,,,,,,,,210.458,False,False
359.0,75.568,0.0,Jerry,24.037,54.851,124.21,,,,,,,,,203.099,False,False
360.0,75.07,0.0,Jerry,21.979,54.851,124.21,,,,,,,,,201.041,False,False
361.0,76.149,0.0,Jerry,26.416,54.851,124.21,,,,,,,,,205.477,False,False
362.0,78.656,0.0,Jerry,36.348,54.851,124.21,,,,,,,,,215.409,False,False
363.0,81.84,0.0,Jerry,48.205,54.851,124.21,,,,,,,,,227.266,False,False
364.0,84.816,0.0,Jerry,58.523,54.851,124.21,,,,,,,,,237.584,False,False
365.0,86.7,0.0,Jerry,64.671,54.851,124.21,,,,,,,,,243.732,False,False
366.0,86.708,0.0,Morty,64.671,64.699,124.21,,,,,,,,,253.58,False,False
367.0,84.678,0.03,Morty,64.671,58.06,124.21,,,,,,,,,246.941,False,False
368.0,81.37,0.01,Jerry,46.505,58.06,124.21,,,,,,,,,228.776,False,False
369.0,77.75,0.0,Jerry,32.819,58.06,124.21,,,,,,,,,215.089,False,False
370.0,74.786,0.0,Jerry,20.798,58.06,124.21,,,,,,,,,203.068,False,False
371.0,73.346,0.0,Jerry,14.692,58.06,124.21,,,,,,,,,196.962,False,False
372.0,73.707,0.0,Jerry,16.238,58.06,124.21,,,,,,,,,198.509,False,False
373.0,75.261,0.0,Jerry,22.773,58.06,124.21,,,,,,,,,205.043,False,False
374.0,77.203,0.0,Jerry,30.655,58.06,124.21,,,,,,,,,212.926,False,False
375.0,78.728,0.0,Jerry,36.624,58.06,124.21,,,,,,,,,218.894,True,False
376.0,136.404,0.15,Rick,0.0,0.0,120.005,,,,,,,,,120.005,False,False
377.0,132.26,0.07,Rick,0.0,0.0,123.265,,,,,,,,,123.265,False,False
378.0,129.596,0.09,Rick,0.0,0.0,124.604,,,,,,,,,124.604,False,False
379.0,128.08,0.07,Rick,0.0,0.0,125.102,,,,,,,,,125.102,False,False
380.0,127.395,0.12,Rick,0.0,0.0,125.264,,,,,,,,,125.264,False,False
381.0,127.238,0.15,Rick,0.0,0.0,125.296,,,,,,,,,125.296,False,False
382.0,127.316,0.03,Rick,0.0,0.0,125.28,,,,,,,,,125.28,False,False
383.0,127.344,0.04,Rick,0.0,0.0,125.275,,,,,,,,,125.275,False,False
384.0,127.071,0.15,Rick,0.0,0.0,125.327,,,,,,,,,125.327,False,False
385.0,126.382,0.0,Rick,0.0,0.0,125.432,,,,,,,,,125.432,False,False
386.0,125.374,0.14,Rick,0.0,0.0,125.514,,,,,,,,,125.514,False,False
387.0,124.193,0.06,Rick,0.0,0.0,125.503,,,,,,,,,125.503,False,False
388.0,122.987,0.08,Rick,0.0,0.0,125.371,,,,,,,,,125.371,False,False
389.0,121.897,0.07,Rick,0.0,0.0,125.148,,,,,,,,,125.148,False,False
390.0,120.989,0.07,Rick,0.0,0.0,124.886,,,,,,,,,124.886,False,False
391.0,120.215,0.12,Rick,0.0,0.0,124.608,,,,,,,,,124.608,False,False
392.0,119.503,0.01,Rick,0.0,0.0,124.309,,,,,,,,,124.309,False,False
393.0,118.784,0.0,Morty,0.0,123.964,124.309,,,,,,,,,248.273,False,False
394.0,117.997,0.0,Morty,0.0,123.536,124.309,,,,,,,,,247.845,False,False
395.0,117.121,0.06,Morty,0.0,123.0,124.309,,,,,,,,,247.309,False,False
396.0,116.195,0.0,Morty,0.0,122.363,124.309,,,,,,,,,246.672,False,False
397.0,115.27,0.03,Morty,0.0,121.656,124.309,,,,,,,,,245.965,False,False
398.0,114.402,0.04,Morty,0.0,120.927,124.309,,,,,,,,,245.236,False,False
399.0,113.64,0.04,Morty,0.0,120.236,124.309,,,,,,,,,244.545,False,False
400.0,112.997,0.01,Morty,0.0,119.615,124.309,,,,,,,,,243.924,False,False
401.0,112.433,0.03,Morty,0.0,119.042,124.309,,,,,,,,,243.351,False,False
402.0,111.896,0.03,Morty,0.0,118.472,124.309,,,,,,,,,242.781,False,False
403.0,111.335,0.03,Morty,0.0,117.85,124.309,,,,,,,,,242.159,False,False
404.0,110.705,0.05,Morty,0.0,117.121,124.309,,,,,,,,,241.43,False,False
405.0,110.009,0.01,Morty,0.0,116.276,124.309,,,,,,,,,240.585,False,False
406.0,109.312,0.01,Morty,0.0,115.391,124.309,,,,,,,,,239.7,False,False
407.0,108.699,0.03,Morty,0.0,114.578,124.309,,,,,,,,,238.886,False,False
408.0,108.251,0.06,Morty,0.0,113.964,124.309,,,,,,,,,238.273,False,False
